question,answers,correct_answer,numer pytania,kontekst
Ustawa:,"a) nie ma mocy wstecznej chyba że wynika to z jej brzmienia lub celu
b) może mieć moc wsteczną o ile jest to korzystniejsze dla stron stosunku prawnego
c) nie może mieć mocy wstecznej.",a,3,"Art. 3. Ustawa nie ma mocy wstecznej, chyba że to wynika z jej brzmienia lub celu."
Strona która zawarła umowę z osobą ograniczoną w zdolności do czynności prawnych bez wymaganej zgody przedstawiciela ustawowego może:,"a) wyznaczyć temu przedstawicielowi odpowiedn i termin do potwierdzenia umowy; staje się wolna po bezskutecznym upływie
wyznaczonego terminu
b) wyznaczyć temu przedstawiciclowi odpowiedni termin do potwie rdzenia umowy po bezskutecznym upływie wyznaczonego
terminu umowa jest nieważna 
c) wyznaczyć temu przedstawicielowi odpowiedni termin do potwierdzenia umowy; po bezskutecznym upływie wyznaczonego
terminu umowa staje się zobowiązaniem naturalnym",a,25,"Art. 18. § 1. Ważność umowy, która została zawarta przez osobę ograniczoną
w zdolności do czynności prawnych bez wymaganej zgody przedstawiciela
ustawowego, zależy od potwierdzenia umowy przez tego przedstawiciela.
§ 2. Osoba ograniczona w zdolności do czynności prawnych może sama
potwierdzić umowę po uzyskaniu pełnej zdolności do czynności prawnych.
§ 3. Strona, która zawarła umowę z osobą ograniczoną w zdolności do czynności
prawnych, nie może powoływać się na brak zgody jej przedstawiciela ustawowego.
Może jednak wyznaczyć temu przedstawicielowi odpowiedni termin do potwierdzenia
umowy; staje się wolna po bezskutecznym upływie wyznaczonego terminu."
W przypadku gdy osoba fizyczna będąca następcą prawnym innej osoby fizycznej kontynuuje jej działalność gospodarczą,"a) Powinna zmienić firmę poprzez usunięcie z niej nazwiska zmarłej osoby fizycznej.
 b) Powinna zmienić firmę poprzez usunięcie z niej nazwiska zmarłej osoby fizycznej chyba że zmarła osoba przed śmiercią zgodziła się w akcie notarialnym na pozostawienie firmy bez zmian.
 c) Może zachować w swojej firmie nazwisko zmarłej osoby fizycznej tylko za wyrażoną na piśmie jej zgodą a w razie jej śmierci - za zgodą jej małżonka i dzieci",c,85,"Art. 438. § 1. W przypadku utraty członkostwa przez wspólnika, którego
nazwisko było umieszczone w firmie, spółka może zachować w swej firmie nazwisko
byłego wspólnika tylko za wyrażoną na piśmie jego zgodą, a w razie jego śmierci – za
zgodą jego małżonka i dzieci.
§ 2. Przepis § 1 stosuje się odpowiednio w wypadku kontynuowania działalności
gospodarczej osoby fizycznej przez inną osobę fizyczną będącą jej następcą prawnym.
§ 3. Kto nabywa przedsiębiorstwo, może je nadal prowadzić pod dotychczasową
nazwą. Powinien jednak umieścić dodatek wskazujący firmę lub nazwisko nabywcy,
chyba że strony postanowiły inaczej."
Jeżeli nieważnością jest dotknięta tylko część czynności prawnej czynność,"a) Pozostaje w mocy co do pozostałych czynności chyba że z okoliczności wynika że bez postanowień dotkniętych nieważnością czynność nie zostałaby dokonana.
 b) Pozostaje w mocy.
 c) Pozostaje w mocy jedynie w przypadku gdy unieważnienie nie niesie ze sobą szkody dla osoby której dotyczy ta czynność.",a,128,"Art. 58. § 1. Czynność prawna sprzeczna z ustawą albo mająca na celu obejście
ustawy jest nieważna, chyba że właściwy przepis przewiduje inny skutek,
w szczególności ten, iż na miejsce nieważnych postanowień czynności prawnej
wchodzą odpowiednie przepisy ustawy.
§ 2. Nieważna jest czynność prawna sprzeczna z zasadami współżycia
społecznego.
§ 3. Jeżeli nieważnością jest dotknięta tylko część czynności prawnej, czynność
pozostaje w mocy co do pozostałych części, chyba że z okoliczności wynika, iż bez
postanowień dotkniętych nieważnością czynność nie zostałaby dokonana."
Oferta złożona w toku aukcji przestaje wiązać gdy:,"a) została zawarta umowa z innym uczestnikiem aukcji 
 b) inny cuczestnik aukcji (licytant) złożył ofertę korzystniejszą
 c) inny uczestnik aukcji (licytant) złożył ofertę korzystniejszą chyba że w warunkach aukcji zastrzeżono inaczej",c,158,"Art. 702. § 1. Oferta złożona w toku aukcji przestaje wiązać, gdy inny uczestnik
aukcji (licytant) złożył ofertę korzystniejszą, chyba że w warunkach aukcji
zastrzeżono inaczej.
§ 2. Zawarcie umowy w wyniku aukcji następuje z chwilą udzielenia przybicia.
§ 3. Jeżeli ważność umowy zależy od spełnienia szczególnych wymagań
przewidzianych w ustawie, zarówno organizator aukcji, jak i jej uczestnik, którego
oferta została przyjęta, mogą dochodzić zawarcia umowy."
Pełnomocnictwo ogólne obejmuje umocowanie do czynności:,"a) przekraczających zakres zwykłego zarządu 
 b) zwykłego zarządu 
 c) zwykłego zarządu chyba że ustawa wymaga pełnomocnictwa do poszczególnych czynności.",b,214,"Art. 98. Pełnomocnictwo ogólne obejmuje umocowanie do czynności zwykłego
zarządu. Do czynności przekraczających zakres zwykłego zarządu potrzebne jest
pełnomocnictwo określające ich rodzaj, chyba że ustawa wymaga pełnomocnictwa do
poszczególnej czynności."
Roszczenia majątkowe:,"a) Ulegają przedawnieniu. 
 b) Nie ulegają przedawnieniu. 
 c) Ulegają przedawnieniu z zastrzeżeniem wyjątków przewidzianych w ustawie.",c,258,"Art. 117. § 1. Z zastrzeżeniem wyjątków w ustawie przewidzianych, roszczenia
majątkowe ulegają przedawnieniu.
§ 2. Po upływie terminu przedawnienia ten, przeciwko komu przysługuje
roszczenie, może uchylić się od jego zaspokojenia, chyba że zrzeka się korzystania
z zarzutu przedawnienia. Jednakże zrzeczenie się zarzutu przedawnienia przed
upływem terminu jest nieważne.
§ 21. Po upływie terminu przedawnienia nie można domagać się zaspokojenia
roszczenia przysługującego przeciwko konsumentowi.
§ 3. (uchylony)"
Gdy rzecz zgubiona skradziona lub w inny sposób utracona przepadła właściciel albo został pozbawiony jej upływem lat 3 od chwili jej zgubienia kradzieży lub utraty nabycia może uzyskać własność:,"a) dopiero z upływem tego trzyletniego terminu
 b) z chwilą objęcia rzeczy w posiadanie 
 c) z chwilą zbycia rzeczy.",a,311,"Art. 169. § 1. Jeżeli osoba nieuprawniona do rozporządzania rzeczą ruchomą
zbywa rzecz i wydaje ją nabywcy, nabywca uzyskuje własność z chwilą objęcia rzeczy
w posiadanie, chyba że działa w złej wierze.
§ 2. Jednakże gdy rzecz zgubiona, skradziona lub w inny sposób utracona przez
właściciela zostaje zbyta przed upływem lat trzech od chwili jej zgubienia, skradzenia
lub utraty, nabywca może uzyskać własność dopiero z upływem powyższego
trzyletniego terminu. Ograniczenie to nie dotyczy pieniędzy i dokumentów na
okaziciela ani rzeczy nabytych na urzędowej licytacji publicznej lub w toku
postępowania egzekucyjnego.
§ 3. Przepisów § 1 i 2 nie stosuje się do rzeczy wpisanej do krajowego rejestru
utraconych dóbr kultury."
"Oddanie gruntu Skarbu Pańtstwa lub gruntu należącego do jednostek
 samo rządu terytorialnego bądź ich związków w użytkowanie wieczy-
 ste następuję na 99 lat. Oddanie gruntu na okres krótszy jest:","a) niedopuszczalne 
 b) dopuszczalne w sytuacjach kiedy jest to korzystne dla oddającego grunt w użytkowanie wieczyste - co najmniej jednak na lat 30 
 c) dopuszczalne w przypadkach wyjątkowych gdy cel gospodarczy użytkowania wieczystego nie wymaga oddania gruntu na 99 lat - co najmniej jednak na lat 40",c,373,"Art. 236. § 1. Oddanie gruntu Skarbu Państwa lub gruntu należącego do
jednostek samorządu terytorialnego bądź ich związków w użytkowanie wieczyste
następuje na okres dziewięćdziesięciu dziewięciu lat. W wypadkach wyjątkowych,
gdy cel gospodarczy użytkowania wieczystego nie wymaga oddania gruntu na
dziewięćdziesiąt dziewięć lat, dopuszczalne jest oddanie gruntu na okres krótszy, co
najmniej jednak na lat czterdzieści.
§ 2. W ciągu ostatnich pięciu lat przed upływem zastrzeżonego w umowie
terminu wieczysty użytkownik może żądać jego przedłużenia na dalszy okres od
czterdziestu do dziewięćdziesięciu dziewięciu lat; jednakże wieczysty użytkownik
może wcześniej wystąpić z takim żądaniem, jeżeli okres amortyzacji zamierzonych na
użytkowanym gruncie nakładów jest znacznie dłuższy aniżeli czas, który pozostaje do
upływu zastrzeżonego w umowie terminu. Odmowa przedłużenia jest dopuszczalna
tylko ze względu na ważny interes społeczny.
§ 3. Umowa o przedłużenie wieczystego użytkowania powinna być zawarta
w formie aktu notarialnego."
"Użytkownik może zakładać w pomieszczeniach nowe urządzenia
 w takich granicach jak:","a) właściciel
 b) najemca
 c) posiadacz.",b,407,"Art. 268. Użytkownik może zakładać w pomieszczeniach nowe urządzenia
w takich granicach jak najemca."
Jeżeli rzecz obciążona zastawem przynosi pożytki zastawnik powinien w braku odmiennej umowy pobierać je i,"a) traktować je jako dochód z zastawu
 b) trakować je jako przychód z zastawu
 c) zaliczań na poczet wierzytelności i związanych z nią roszczeń. Po wygaśnięciu zastawu zobowiązany jest złożyć zastawcy rachunek",c,454,"Art. 319. Jeżeli rzecz obciążona zastawem przynosi pożytki, zastawnik
powinien, w braku odmiennej umowy, pobierać je i zaliczać na poczet wierzytelności
i związanych z nią roszczeń. Po wygaśnięciu zastawu obowiązany jest złożyć
zastawcy rachunek."
Zobowiązanie bezterminowe o charakterze ciągłym wygasa:,"a) po wypowiedzeniu przez dłużnika lub wierzyciela z zachowaniem terminów umownych ustawowych lub zwyczajowych a w razie braku takich terminów niezwłocznie po wypowiedzeniu
 b) po wypowiedzeniu przez wierzyciela z zachowaniem terminów umownych ustawowych lub zwyczajowych a w razie braku takich terminów niezwłocznie po wypowiedzeniu
 c) po wypowiedzeniu przez wierzyciela - niezwłocznie po wypowiedzeniu.",a,517,"Art. 3651. Zobowiązanie bezterminowe o charakterze ciągłym wygasa po
wypowiedzeniu przez dłużnika lub wierzyciela z zachowaniem terminów umownych,
ustawowych lub zwyczajowych, a w razie braku takich terminów niezwłocznie po
wypowiedzeniu."
