Ministerstwo Sprawiedliwości
Departament Zawodów Prawniczych 

EGZAMIN WSTĘPNY 
DLA KANDYDATÓW NA APLIKANTÓW 
KOMORNICZYCH
24 WRZEŚNIA 2022 R.
ZESTAW PYTAŃ TESTOWYCH
  Pouczenie:

 1.	Zestaw pytań testowych i kartę odpowiedzi oznacza się indywidualnym kodem. Wylosowany numer kodu kandydat wpisuje w prawym górnym rogu na pierwszej stronie zestawu pytań testowych i na każdej stronie karty odpowiedzi. Nie jest dopuszczalne w żadnym miejscu zestawu pytań testowych i karty odpowiedzi wpisanie imienia i nazwiska ani też podpisanie się własnym imieniem i nazwiskiem. 
	
	Karta odpowiedzi zawierająca dane umożliwiające identyfikację kandydata, a także karta odpowiedzi niezawierająca prawidłowo zamieszczonego oznaczenia kodowego nie podlega ocenie Komisji Kwalifikacyjnej, co skutkuje uzyskaniem negatywnego wyniku egzaminu. 

 2.	Każdy kandydat otrzymuje:
	1) jeden egzemplarz zestawu pytań testowych, zawarty na 33 stronach; 
	2) jeden egzemplarz karty odpowiedzi, zawarty na 4 stronach.

 3.	Przed przystąpieniem do rozwiązania zestawu pytań testowych należy sprawdzić, czy zawiera on wszystkie kolejno ponumerowane strony od 1 do 33 oraz czy karta odpowiedzi zawiera 4 strony. W przypadku braku którejkolwiek ze stron, należy 
o tym niezwłocznie zawiadomić Komisję Kwalifikacyjną.

 4.	Zestaw pytań testowych składa się ze 150 pytań jednokrotnego wyboru, przy czym każde pytanie zawiera po 3 propozycje odpowiedzi. 
	Wybór odpowiedzi polega na zakreśleniu na karcie odpowiedzi znakiem „X” jednej z trzech propozycji odpowiedzi w odpowiedniej kolumnie (A albo B, albo C). 
	Prawidłowa jest odpowiedź, która w połączeniu z treścią pytania tworzy – w świetle obowiązującego prawa – zdanie prawdziwe. Na każde pytanie testowe tylko jedna odpowiedź jest prawidłowa. Niedopuszczalne jest dokonywanie dodatkowych założeń, wykraczających poza treść pytania.

 5.	Wyłączną podstawę ustalenia wyniku kandydata stanowią odpowiedzi zakreślone na karcie odpowiedzi. Odpowiedzi zaznaczone na zestawie pytań testowych nie będą podlegały ocenie. 

 6.	Zmiana zakreślonej odpowiedzi jest niedozwolona. 

 7.	Za każdą prawidłową odpowiedź kandydat otrzymuje 1 punkt. W przypadku zaznaczenia więcej niż jednej odpowiedzi, żadna z odpowiedzi nie podlega zaliczeniu jako prawidłowa. 

 8.	Prawidłowość odpowiedzi ocenia się według stanu prawnego na dzień 24 września 2022 r.

9.	Czas na rozwiązanie zestawu pytań testowych wynosi 150 minut.
1. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, zakazane są zrzeszenia, których cel lub działalność są sprzeczne z:
A. 	Konstytucją, ustawą i rozporządzeniem,
B. 	Konstytucją lub ustawą,
C. 	Konstytucją, ustawą i aktem prawa miejscowego. 

2. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, o zamiarze przedłożenia Prezydentowi Rzeczypospolitej Polskiej do ratyfikacji umów międzynarodowych, których ratyfikacja nie wymaga zgody wyrażonej w ustawie, Prezes Rady Ministrów zawiadamia: 
A. 	Sejm,
B. 	Radę Ministrów,
C. 	Najwyższą Izbę Kontroli. 

3. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, władzę ustawodawczą w Rzeczypospolitej Polskiej sprawują:
A. 	Sejm i Senat,
B. 	Sejm i Prezydent Rzeczypospolitej Polskiej,
C. 	Sejm i Rada Ministrów. 

4. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, zwierzchnikiem korpusu służby cywilnej jest:
A. 	Prezydent Rzeczypospolitej Polskiej,
B. 	Prezes Rady Ministrów,
C. 	Szef Kancelarii Prezesa Rady Ministrów.

5. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, kadencja wybranych członków Krajowej Rady Sądownictwa trwa:
A. 	cztery lata,
B. 	pięć lat,
C. 	sześć lat.


6. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, inicjatywa ustawodawcza w  zakresie ustawy budżetowej, ustawy o prowizorium budżetowym, zmiany ustawy budżetowej, ustawy o zaciąganiu długu publicznego oraz ustawy o  udzielaniu gwarancji finansowych przez państwo przysługuje:
A. 	wyłącznie Sejmowi,
B. 	wyłącznie Prezydentowi Rzeczypospolitej Polskiej, 
C. 	wyłącznie Radzie Ministrów.

7. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, Prezes Narodowego Banku Polskiego jest powoływany przez: 
A. 	Sejm na wniosek Prezydenta Rzeczypospolitej Polskiej, 
B. 	Sejm na wniosek Prezesa Rady Ministrów,
C. 	Sejm za zgodą Senatu. 

8. 	Zgodnie z Konstytucją Rzeczypospolitej Polskiej, w czasie stanu nadzwyczajnego nie może być zmieniona:
A. 	ustawa o wyborze Prezydenta Rzeczypospolitej Polskiej, 
B. 	ustawa o referendum ogólnokrajowym,
C. 	ustawa o finansach publicznych. 

9. 	Zgodnie z ustawą o Rzeczniku Praw Obywatelskich, szczegółowy tryb zgłaszania kandydatów na Rzecznika Praw Obywatelskich określa:
A. 	uchwała Rady Ministrów,
B. 	uchwała Sejmu,
C. 	uchwała Senatu.

10.	Zgodnie z Kodeksem cywilnym, uprawnionemu do pobierania pożytków:
A.	przypadają pożytki naturalne, które zostały odłączone od rzeczy w czasie trwania jego uprawnienia, a pożytki cywilne – w stosunku do czasu trwania tego uprawnienia,
B.	przypadają pożytki cywilne, które zostały odłączone od rzeczy w czasie trwania jego uprawnienia, a pożytki naturalne – w stosunku do czasu trwania tego uprawnienia,
C.	przypadają pożytki naturalne – w stosunku do czasu trwania tego uprawnienia, a nie przypadają pożytki cywilne. 
11.	Zgodnie z Kodeksem cywilnym, czynność prawna wywołuje nie tylko skutki w niej wyrażone, lecz również te, które:
A.	wynikają z ustawy, z orzecznictwa sądów i z ustalonych zwyczajów,
B.	wynikają z ustawy, z zasad współżycia społecznego i z ustalonych zwyczajów,
C.	wynikają z zasad współżycia społecznego, z orzecznictwa sądów i z ustalonych zwyczajów.

12.	Zgodnie z Kodeksem cywilnym, jeżeli przedsiębiorca otrzymał od osoby, z którą pozostaje w stałych stosunkach gospodarczych, ofertę zawarcia umowy w ramach swej działalności, brak niezwłocznej odpowiedzi poczytuje się za:
A.	przyjęcie oferty,
