WYKAZ PRAWIDŁOWYCH ODPOWIEDZI DO ZESTAWU PYTAŃ TESTOWYCH 
NA EGZAMIN WSTĘPNY NA APLIKACJĘ NOTARIALNĄ
24 WRZEŚNIA 2022 R.

nr pytania	prawidłowa odpowiedź	podstawa prawna
1.	A	art. 33 k.c.
2.	C	art. 434 k.c.
3.	A	art. 58 § 2 k.c.
4.	B	art. 61 § 1 k.c.
5.	A	art. 64 k.c.
6. 	C	art. 68² k.c. 
7.	C	art. 82 k.c. 
8.	C	art. 105 k.c. 
9.	A	art. 119 k.c.
10.	A	art. 220 k.c.  
11.	C	art. 265 § 1 w zw. z art. 252 k.c. 
12.	C	art. 336 k.c.
13.	C	art. 411 pkt 3 k.c. 
14.	B	art. 445 § 3 k.c. 
15.	B	art. 483 § 1 k.c.
16.	C	art. 519 § 2 pkt 1 k.c.
17.	B	art. 593 § 2 k.c.
18.	A	art. 604 k.c.
19.	C	art. 678 § 2 k.c.  
20.	A	art. 723 k.c.  
21.	B	art. 867 § 1 k.c.
22.	C	art. 916 k.c.  
23.	A	art. 927 § 3 k.c.
24.	C	art. 933 k.c.
25.	C	art. 944 § 2 k.c.
26.	B	art. 971 k.c.
27.	B	art. 981 w zw. z art. 970 k.c. 
28.	C	art. 1012 k.c. 
29.	C	art. 1045 k.c. 
30.	C	art. 1048 k.c.
31.	A	art. 1052 § 1 i 3 k.c. 
32.	B	art. 6 ust. 1 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
33.	A	art. 21 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
34.	C	art. 32 ust. 3 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
35.	B	art. 65 ust. 2 pkt 3 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
36.	C	art. 72 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
37.	C	art. 1 ust. 2 pkt 1 ustawy z dnia 24 marca 1920 r. o nabywaniu nieruchomości przez cudzoziemców  
38.	A	art. 3 ust. 2 ustawy z dnia 24 marca 1920 r. o nabywaniu nieruchomości przez cudzoziemców 
39.	A	art. 8a ust. 1 pkt 1 ustawy z dnia 24 marca 1920 r. o nabywaniu nieruchomości przez cudzoziemców 
40.	A	art. 2 pkt 1 ustawy z dnia 11 kwietnia 2003 r. o kształtowaniu ustroju rolnego
41.	C	art. 19a ust. 1 ustawy z dnia 21 czerwca 2001 r o ochronie praw lokatorów, mieszkaniowym zasobie gminy i o zmianie Kodeksu cywilnego
42.	B	art. 6 ustawy z dnia 24 czerwca 1994 r. o własności lokali 
43.	A	art. 7 ust. 2 ustawy z dnia 24 czerwca 1994 r. o własności lokali 
44.	B	art. 24 ust. 1 ustawy z dnia 21 sierpnia 1997 r. o gospodarce nieruchomościami 
45.	C	art. 46 ust. 4 pkt 1 ustawy z dnia 21 sierpnia 1997 r. o gospodarce nieruchomościami 
46.	A	art. 80 ust. 1 ustawy z dnia 21 sierpnia 1997 r. o gospodarce nieruchomościami
47.	B	art. 109 ust. 3 pkt 5 ustawy z dnia 21 sierpnia 1997 r. o gospodarce nieruchomościami 
48.	B	art. 22  ustawy z dnia 16 września 1982 r. – Prawo spółdzielcze
49.	B	art. 45 § 1 ustawy z dnia 16 września 1982 r. – Prawo spółdzielcze
50.	B	art. 82 ust. 3 ustawy z dnia 15 grudnia 2000 r. o spółdzielniach mieszkaniowych
51.	B	art. 16 ust. 1 ustawy z dnia 15 grudnia 2000 r. o spółdzielniach mieszkaniowych
52.	C	art. 19 ust. 2 ustawy z dnia 5 lipca 2018 r. o zarządzie sukcesyjnym przedsiębiorstwem osoby fizycznej i innych ułatwieniach związanych z sukcesją przedsiębiorstw 
53.	A	art. 17 pkt 4 w zw. z art. 16 § 1 k.p.c.
54.	B	art. 94 § 1 k.p.c.
55.	A	art. 163 § 1 k.p.c.
56.	C	art. 171 k.p.c.
57.	A	art. 199 § 1 pkt 2 k.p.c.
58.	B	art. 245 k.p.c.
59.	B	art. 316 § 1 k.p.c.
60.	C	art. 344 § 1 k.p.c.
61.	C	art. 3982 § 1 i 2 pkt 1 k.p.c.
62.	A	art. 408 k.p.c.
63.	B	art. 6 § 1 k.r. i o.
64.	B	art. 10 § 1 k.r. i o.
65.	A	art. 33 pkt 2 k.r. i o.
66.	C	art. 94 § 3 k.r. i o.
67.	B	art. 102 w zw. z art. 101 § 2 k.r. i o.
68.	C	art. 103 k.r. i o.
69.	B	art. 18a ustawy z dnia 6 grudnia 1996 r. o zastawie rejestrowym i rejestrze zastawów
70.	A	art. 22 ustawy z dnia 20 sierpnia 1997 r. o Krajowym Rejestrze Sądowym 
71.	B	art. 6 pkt 3 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
72.	B	art. 74 ust. 2 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
73.	C	art. 78 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe
74.	B	art. 105 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
75.	B	art. 146 ust. 1 ustawy z dnia 28 lutego 2003 r. – Prawo upadłościowe 
76.	B	art. 70 ustawy z dnia 28 kwietnia 1936 r. – Prawo wekslowe
77.	B	art. 96 ustawy z dnia 28 kwietnia 1936 r. – Prawo wekslowe
78.	C	art. 7 ust. 1 pkt 3 ustawy z dnia 6 marca 2018 r. – Prawo przedsiębiorców
79.	A	art. 19 ustawy z dnia 6 marca 2018 r. – Prawo przedsiębiorców
80.	A	art. 29 ust. 1 ustawy z dnia 6 marca 2018 r. o Centralnej Ewidencji i Informacji o Działalności Gospodarczej i Punkcie Informacji dla Przedsiębiorcy
81. 	A	art. 49 ust. 2 ustawy z dnia 6 marca 2018 r. o Centralnej Ewidencji i Informacji o Działalności Gospodarczej i Punkcie Informacji dla Przedsiębiorcy
82.	B	art. 1 § 2 k.s.h. 
83.	A	art. 12 k.s.h. 
84.	B	art. 14 § 1 k.s.h. 
