WYKAZ PRAWIDŁOWYCH ODPOWIEDZI DO ZESTAWU PYTAŃ TESTOWYCH
NA EGZAMIN WSTĘPNY NA APLIKACJĘ KOMORNICZĄ 
24 WRZEŚNIA 2022 R.

nr pytania	prawidłowa
odpowiedź	podstawa prawna
1.	B	art. 58 ust. 2 Konstytucji Rzeczypospolitej Polskiej
2.	A	art. 89 ust. 2 Konstytucji Rzeczypospolitej Polskiej
3.	A	art. 95 ust. 1 Konstytucji Rzeczypospolitej Polskiej
4.	B	art. 153 ust. 2 Konstytucji Rzeczypospolitej Polskiej
5.	A	art. 187 ust. 3 Konstytucji Rzeczypospolitej Polskiej
6.	C	art. 221 Konstytucji Rzeczypospolitej Polskiej
7.	A	art. 227 ust. 3 Konstytucji Rzeczypospolitej Polskiej
8.	A	art. 228 ust. 6 Konstytucji Rzeczypospolitej Polskiej
9.	B	art. 3 ust. 2 ustawy z dnia 15 lipca 1987 r. o Rzeczniku Praw Obywatelskich
10.	A	art. 55 § 1 k.c.
11.	B	art. 56 k.c.
12.	A	art. 682 k.c.
13.	A	art. 98 zd. 1 k.c.
14.	B	art. 113 § 2 k.c.
15.	A	art. 173 k.c.
16.	B	art. 208 k.c.
17.	B	art. 356 § 1 k.c. 
18.	B	art. 369 k.c.
19.	A	art. 377 k.c.
20.	B	art. 381 § 1 k.c.
21.	B	art. 385 § 1 k.c.
22.	A	art. 498 § 2 k.c.
23.	A	art. 506 § 1 k.c.
24.	B	art. 723 k.c.
25.	B	art. 743 k.c.
26.	A	art. 874 § 1 k.c.
27.	A	art. 876 k.c.
28.	B	art. 878 § 1 k.c.
29.	A	art. 929 k.c.
30.	C	art. 942 k.c.
31.	C	art. 9811 § 2 pkt 1 k.c.
32.	A	art. 987 k.c.
33.	A	art. 1030 k.c.
34.	C	art. 1034 § 1 k.c.
35.	A	art. 1038 § 2 k.c. 
36.	A	art. 23 ustawy z dnia 28 kwietnia 1936 r. – Prawo wekslowe
37.	B	art. 25 ust. 2 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
38.	C	art. 95 ustawy z dnia 6 lipca 1982 r. o księgach wieczystych i hipotece
39.	C	art. 29 ust. 1a ustawy z dnia 24 czerwca 1994 r. o własności lokali
40.	C	art. 32 ust. 1 ustawy z dnia 24 czerwca 1994 r. o własności lokali
41.	A	art. 9 ust. 1 ustawy z dnia 6 grudnia 1996 r. o zastawie rejestrowym i rejestrze zastawów
42.	C	art. 83 ust. 8 ustawy z dnia 15 grudnia 2000 r. o spółdzielniach mieszkaniowych
43.	C	art. 23 ust. 4 ustawy z dnia 21 czerwca 2001 r. o ochronie praw lokatorów, mieszkaniowym zasobie gminy i o zmianie Kodeksu cywilnego
44.	B	art. 1 ustawy z dnia 6 grudnia 2018 r. o Krajowym Rejestrze Zadłużonych
45.	A	art. 39 k.p.c. 
46.	A	art. 48 § 1 pkt 2 k.p.c. 
