index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e:
    
            a) jest on w stanie kierowaæ swym postêpowaniem,
            b) ustanowiony zosta³ dla niego kurator
            c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.
            ",C,art. 13 § 2 k.c.,"OdpowiedŸ: **c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.**

**Wyjaœnienie:**
Zgodnie z art. 13 § 2 Kodeksu cywilnego, dla osoby ubezw³asnowolnionej ca³kowicie ustanawia siê opiekê, chyba ¿e pozostaje ona jeszcze pod w³adz¹ rodzicielsk¹. Oznacza to, ¿e w przypadku, gdy osoba ubezw³asnowolniona ca³kowicie jest nadal dzieckiem i znajduje siê pod w³adz¹ rodzicielsk¹, nie ma potrzeby ustanawiania dla niej opieki. W³adza rodzicielska zapewnia odpowiedni¹ ochronê i wsparcie, które s¹ wystarczaj¹ce w tym przypadku.

**Odniesienie do przepisów:**
- Art. 13 Kodeksu cywilnego:
  - § 1. Osoba, która ukoñczy³a lat trzynaœcie, mo¿e byæ ubezw³asnowolniona ca³kowicie, je¿eli wskutek choroby psychicznej, niedorozwoju umys³owego albo innego rodzaju zaburzeñ psychicznych, w szczególnoœci pijañstwa lub narkomanii, nie jest w stanie kierowaæ swym postêpowaniem.
  - § 2. Dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.",True,True,[13]
31,"Question: Zgodnie z Kodeksem cywilnym, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej:
    
            a) pe³nomocnika, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            b) opiekuna, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³. 
            ",C,art. 42 § 1 k.c.,"OdpowiedŸ: **c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³.**

**Wyjaœnienie:**
Zgodnie z art. 42 § 1 Kodeksu cywilnego, w sytuacji, gdy osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw z powodu braku organu lub braku w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ma obowi¹zek ustanowiæ dla niej kuratora. Kurator ten dzia³a w imieniu osoby prawnej i podlega nadzorowi s¹du, który go ustanowi³. 

Warto zauwa¿yæ, ¿e odpowiedzi a) i b) s¹ nieprawid³owe, poniewa¿ pe³nomocnik i opiekun nie s¹ terminami stosowanymi w kontekœcie reprezentacji osób prawnych w sytuacji braku organu. Pe³nomocnik dzia³a na podstawie pe³nomocnictwa, a opiekun dotyczy osób fizycznych, które s¹ ograniczone w zdolnoœci do czynnoœci prawnych.

**Odniesienie do przepisów:**
- Art. 42 Kodeksu cywilnego:
  - § 1. ""Je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej kuratora."" 
  - § 3. ""Kurator niezw³ocznie podejmuje czynnoœci zmierzaj¹ce do powo³ania albo uzupe³nienia sk³adu organu osoby prawnej uprawnionego do jej reprezentowania, a w razie potrzeby do jej likwidacji.""",True,True,[42]
32,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹:
    
            a) wy³¹cznie Skarbowi Pañstwa,
            b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym
            c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.
            ",B,art. 441 § 1 k.c.,"Poprawna odpowiedŸ to **b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym**.

### Wyjaœnienie:
Zgodnie z art. 441 Kodeksu cywilnego, w³asnoœæ i inne prawa maj¹tkowe, które stanowi¹ mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym. Oznacza to, ¿e mienie pañstwowe nie jest wy³¹cznie w rêkach Skarbu Pañstwa, ale mo¿e równie¿ nale¿eæ do innych podmiotów prawnych, które s¹ pañstwowymi osobami prawnymi. 

Warto zauwa¿yæ, ¿e odpowiedŸ a) jest niepoprawna, poniewa¿ ogranicza mienie pañstwowe wy³¹cznie do Skarbu Pañstwa, co jest sprzeczne z przepisami. OdpowiedŸ c) równie¿ jest b³êdna, poniewa¿ wprowadza gminy i ich zwi¹zki, co nie jest zgodne z treœci¹ art. 441.

### Odniesienie do przepisów:
- **Art. 441 Kodeksu cywilnego**: ""W³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym.""",True,True,[441]
33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za:
    
            a) jej czêœci sk³adowe,
            b) po¿ytki prawa
            c) jej przynale¿noœci
            ",A,art. 50 k.c.,"OdpowiedŸ: **a) jej czêœci sk³adowe.**

**Wyjaœnienie:**
Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ traktowane jako jej czêœci sk³adowe. Artyku³ 50 Kodeksu cywilnego stanowi, ¿e za czêœci sk³adowe nieruchomoœci uwa¿a siê tak¿e prawa zwi¹zane z jej w³asnoœci¹. Oznacza to, ¿e prawa te s¹ integraln¹ czêœci¹ nieruchomoœci i nie mog¹ byæ od niej oddzielone bez uszkodzenia ca³oœci.

W kontekœcie pozosta³ych odpowiedzi:
- **b) po¿ytki prawa** - po¿ytki s¹ to korzyœci, jakie w³aœciciel mo¿e uzyskaæ z rzeczy, ale nie s¹ one traktowane jako czêœæ sk³adowa nieruchomoœci.
- **c) jej przynale¿noœci** - przynale¿noœci to rzeczy ruchome, które s¹ potrzebne do korzystania z nieruchomoœci, ale równie¿ nie s¹ to prawa zwi¹zane z w³asnoœci¹ nieruchomoœci.

**Odniesienie do przepisów:**
- Art. 50 Kodeksu cywilnego: ""Za czêœci sk³adowe nieruchomoœci uwa¿a siê tak¿e prawa zwi¹zane z jej w³asnoœci¹.""",True,True,[50]
34,"Question: Zgodnie z Kodeksem cywilnym, je¿eli sk³adaj¹cy oœwiadczenie woli, które ma byæ z³o¿one innej osobie, zmar³ zanim oœwiadczenie woli do tej osoby dosz³o, oœwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci
            c) traci moc wskutek tego, chyba ¿e co innego wynika z zasad wspó³¿ycia spo³ecznego.
            ",B,art. 62 k.c.,"OdpowiedŸ: **b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci.**

**Wyjaœnienie:**
Zgodnie z art. 62 Kodeksu cywilnego, oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy wskutek œmierci sk³adaj¹cego je, zanim dotrze ono do adresata. Oœwiadczenie to pozostaje wa¿ne, chyba ¿e z jego treœci, z przepisów ustawy lub z okolicznoœci wynika coœ innego. Oznacza to, ¿e w przypadku œmierci sk³adaj¹cego oœwiadczenie, jego skutki prawne mog¹ byæ nadal aktualne, co jest istotne w kontekœcie dziedziczenia i realizacji zobowi¹zañ.

**Odniesienie do przepisów:**
- Art. 62 Kodeksu cywilnego: ""Oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy wskutek tego, ¿e zanim do tej osoby dosz³o, sk³adaj¹cy je zmar³ lub utraci³ zdolnoœæ do czynnoœci prawnych, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci.""",True,True,[62]
35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oœwiadczeniach woli stosuje siê do innych oœwiadczeñ:
    
            a) odpowiednio,
            b) wprost, chyba ¿e co innego wynika z ustawy
            c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.
            ",A,art. 651 k.c.,"Poprawna odpowiedŸ to **c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.**

### Uzasadnienie:
Zgodnie z art. 651 Kodeksu cywilnego, przepisy o oœwiadczeniach woli stosuje siê odpowiednio do innych oœwiadczeñ. Oznacza to, ¿e zasady dotycz¹ce oœwiadczeñ woli mog¹ byæ stosowane do innych rodzajów oœwiadczeñ, ale z uwzglêdnieniem kontekstu, w jakim te oœwiadczenia s¹ sk³adane. W przypadku, gdy treœæ czynnoœci, okolicznoœci lub przepisy szczególne wskazuj¹ na inne zasady, to te zasady bêd¹ mia³y pierwszeñstwo.

### Odniesienie do przepisów:
- **Art. 651 Kodeksu cywilnego**: ""Przepisy o oœwiadczeniach woli stosuje siê odpowiednio do innych oœwiadczeñ."" 

To potwierdza, ¿e stosowanie przepisów o oœwiadczeniach woli do innych oœwiadczeñ nie jest bezwarunkowe i mo¿e byæ modyfikowane przez inne regulacje prawne lub okolicznoœci.",False,True,[651]
36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do to¿samoœci oznaczonej:
    
            a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy
            b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y
            c) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy przepis szczególny tak stanowi.
            ",B,art. 155 § 1 k.c.,"OdpowiedŸ: **b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y.**

**Wyjaœnienie:**
Zgodnie z art. 155 § 1 Kodeksu cywilnego, umowa darowizny rzeczy oznaczonej co do to¿samoœci przenosi w³asnoœæ na nabywcê, chyba ¿e przepisy szczególne stanowi¹ inaczej lub strony umowy postanowi³y inaczej. Oznacza to, ¿e w przypadku darowizny rzeczy oznaczonej co do to¿samoœci, przeniesienie w³asnoœci nastêpuje automatycznie z chwil¹ zawarcia umowy, o ile nie ustalono inaczej w umowie lub nie ma przepisów, które by to zmienia³y.

W przypadku rzeczy oznaczonych co do gatunku, przeniesienie w³asnoœci wymaga przeniesienia posiadania, co nie dotyczy rzeczy oznaczonych co do to¿samoœci. Dlatego odpowiedŸ b) jest poprawna, poniewa¿ uwzglêdnia mo¿liwoœæ istnienia przepisów szczególnych lub postanowieñ stron, które mog¹ wp³ywaæ na przeniesienie w³asnoœci.

**Odniesienie do przepisów:**
- Art. 155 Kodeksu cywilnego: ""Umowa sprzeda¿y, zamiany, darowizny, przekazania nieruchomoœci lub inna umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci rzeczy co do to¿samoœci oznaczonej przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y.""",True,True,[155]
37,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci:
    
            a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu
            b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z  zastrze¿eniem terminu
            c) mo¿e byæ przeniesiona pod warunkiem, ale nie mo¿e byæ przeniesiona z  zastrze¿eniem terminu.   
            ",A,art. 157 § 1 k.c.,"OdpowiedŸ: **a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu.**

**Wyjaœnienie:**
Zgodnie z art. 157 § 1 Kodeksu cywilnego, w³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona ani pod warunkiem, ani z zastrze¿eniem terminu. Oznacza to, ¿e wszelkie umowy dotycz¹ce przeniesienia w³asnoœci nieruchomoœci musz¹ byæ bezwarunkowe i nie mog¹ zawieraæ postanowieñ dotycz¹cych terminu przeniesienia w³asnoœci. W przypadku, gdy umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci nieruchomoœci zosta³a zawarta pod warunkiem lub z zastrze¿eniem terminu, konieczne jest dodatkowe porozumienie stron, które wyra¿a ich bezwarunkow¹ zgodê na niezw³oczne przejœcie w³asnoœci.

**Przypis do przepisów:**
- Art. 157 Kodeksu cywilnego:
  - § 1. W³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu.
  - § 2. Je¿eli umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci nieruchomoœci zosta³a zawarta pod warunkiem lub z zastrze¿eniem terminu, do przeniesienia w³asnoœci potrzebne jest dodatkowe porozumienie stron obejmuj¹ce ich bezwarunkow¹ zgodê na niezw³oczne przejœcie w³asnoœci.",True,True,[157]
38,"Question: Zgodnie z Kodeksem cywilnym, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, rozstrzygniêcia przez s¹d:
    
            a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹
            b) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej trzech, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ trzeci¹
            c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.
            ",C,art. 202 k.c.,"OdpowiedŸ: **c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.**

**Wyjaœnienie:**
Zgodnie z art. 202 Kodeksu cywilnego, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, ka¿dy z pozosta³ych wspó³w³aœcicieli ma prawo ¿¹daæ rozstrzygniêcia przez s¹d. Oznacza to, ¿e nie ma wymogu, aby pozostali wspó³w³aœciciele dzia³ali ³¹cznie, ani nie ma ograniczeñ co do liczby wspó³w³aœcicieli, którzy mog¹ wyst¹piæ z takim ¿¹daniem. Wystarczy, ¿e jeden z nich podejmie tak¹ decyzjê.

**Odniesienie do przepisów:**
- Art. 202 Kodeksu cywilnego: ""Je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, ka¿dy z pozosta³ych wspó³w³aœcicieli mo¿e ¿¹daæ rozstrzygniêcia przez s¹d.""",True,True,[202]
39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego
            c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.
            ",C,art. 222 § 2 k.c.,"OdpowiedŸ: **b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego.**

**Wyjaœnienie:**
Zgodnie z art. 222 § 2 Kodeksu cywilnego, w³aœciciel ma prawo do roszczenia przeciwko osobie, która narusza jego w³asnoœæ w sposób inny ni¿ pozbawienie go w³adztwa nad rzecz¹. W takim przypadku przys³uguje mu roszczenie o przywrócenie stanu zgodnego z prawem oraz o zaniechanie naruszeñ. W³aœciciel ma prawo wyboru, które z tych roszczeñ chce dochodziæ, a dokonanie wyboru jednego z nich skutkuje wygaœniêciem drugiego.

**Podstawa prawna:**
- Kodeks cywilny, Art. 222 § 2: ""Przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.""",False,True,[222]
