dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw≥asnowolnionego ca≥kowicie ustanawia siÍ opiekÍ, chyba øe:
    
            a) jest on w stanie kierowaÊ swym postÍpowaniem,
            b) ustanowiony zosta≥ dla niego kurator
            c) pozostaje on jeszcze pod w≥adzπ rodzicielskπ.
            ",C,art. 13 ß 2 k.c.,"Odpowiedü: a) jest on w stanie kierowaÊ swym postÍpowaniem.

Wyjaúnienie: Zgodnie z art. 141 Kodeksu cywilnego, jeøeli osoba ubezw≥asnowolniona ca≥kowicie jest w stanie kierowaÊ swoim postÍpowaniem, sπd moøe jej ustanowiÊ opiekuna z ograniczeniem jego uprawnieÒ lub odmÛwiÊ ustanowienia opiekuna. W przypadku, gdy osoba ubezw≥asnowolniona ca≥kowicie jest w stanie kierowaÊ swoim postÍpowaniem, nie ma koniecznoúci ustanawiania opieki.

Relevant article: Art. 141 Kodeksu cywilnego.",False,False,[141]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, jeøeli osoba prawna nie moøe byÊ reprezentowana lub prowadziÊ swoich spraw ze wzglÍdu na brak organu albo brak w sk≥adzie organu uprawnionego do jej reprezentowania, sπd ustanawia dla niej:
    
            a) pe≥nomocnika, ktÛry podlega nadzorowi sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej
            b) opiekuna, ktÛry podlega nadzorowi sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej
            c) kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥. 
            ",C,art. 42 ß 1 k.c.,"Odpowiedü: c) kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥.

Wyjaúnienie: Zgodnie z art. 33 Kodeksu cywilnego, jeøeli osoba prawna nie moøe byÊ reprezentowana lub prowadziÊ swoich spraw ze wzglÍdu na brak organu albo brak w sk≥adzie organu uprawnionego do jej reprezentowania, sπd ustanawia dla niej kuratora. Kurator ten podlega nadzorowi sπdu, ktÛry go ustanowi≥. Zatem odpowiedü c) jest poprawna, poniewaø kurator podlega nadzorowi sπdu, ktÛry go powo≥a≥, a nie sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej, jak w przypadku pe≥nomocnika (odpowiedü a) lub opiekuna (odpowiedü b).",True,False,[33]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w≥asnoúÊ i inne prawa majπtkowe, stanowiπce mienie paÒstwowe, przys≥ugujπ:
    
            a) wy≥πcznie Skarbowi PaÒstwa,
            b) Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym
            c) Skarbowi PaÒstwa, innym paÒstwowym osobom prawnym oraz gminom i ich zwiπzkom.
            ",B,art. 441 ß 1 k.c.,"Odpowiedü: c) Skarbowi PaÒstwa, innym paÒstwowym osobom prawnym oraz gminom i ich zwiπzkom.

Wybieram odpowiedü c), poniewaø zgodnie z art. 140 Kodeksu cywilnego, w≥asnoúÊ i inne prawa majπtkowe, stanowiπce mienie paÒstwowe, przys≥ugujπ Skarbowi PaÒstwa, innym paÒstwowym osobom prawnym oraz gminom i ich zwiπzkom. Zatem prawa te nie sπ ograniczone wy≥πcznie do Skarbu PaÒstwa, ale mogπ przynaleøeÊ rÛwnieø innym podmiotom prawnym na poziomie paÒstwowym oraz lokalnym.

Artyku≥: Kodeks cywilny, art. 140.",False,False,[140]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwiπzane z w≥asnoúciπ nieruchomoúci uwaøa siÍ za:
    
            a) jej czÍúci sk≥adowe,
            b) poøytki prawa
            c) jej przynaleønoúci
            ",A,art. 50 k.c.,"Odpowiedü: a) jej czÍúci sk≥adowe

Wyjaúnienie: Zgodnie z polskim Kodeksem cywilnym, prawa zwiπzane z w≥asnoúciπ nieruchomoúci uwaøa siÍ za jej czÍúci sk≥adowe. Obejmuje to prawa do korzystania z nieruchomoúci oraz do pobierania poøytkÛw z niej (np. z tytu≥u najmu). Przynaleønoúciπ nieruchomoúci sπ natomiast elementy, ktÛre nie stanowiπ odrÍbnych praw, ale sπ z niπ zwiπzane fizycznie, takie jak budynki, roúliny, czy urzπdzenia.

Relevant article in the Polish Civil Code: Art. 140-144 Kodeksu cywilnego.",True,True,"[140, 141, 142, 143, 144, 50]"
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, jeøeli sk≥adajπcy oúwiadczenie woli, ktÛre ma byÊ z≥oøone innej osobie, zmar≥ zanim oúwiadczenie woli do tej osoby dosz≥o, oúwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci
            c) traci moc wskutek tego, chyba øe co innego wynika z zasad wspÛ≥øycia spo≥ecznego.
            ",B,art. 62 k.c.,"Odpowiedü: b) nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci.

Wyjaúnienie: Zgodnie z art. 58 Kodeksu cywilnego, jeøeli sk≥adajπcy oúwiadczenie woli, ktÛre ma byÊ z≥oøone innej osobie, zmar≥ zanim oúwiadczenie woli do tej osoby dosz≥o, oúwiadczenie to nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci. Oznacza to, øe oúwiadczenie woli z≥oøone przez osobÍ zmar≥π nadal moøe byÊ waøne, chyba øe zachodzπ okreúlone wyjπtki okreúlone w treúci oúwiadczenia, ustawie lub wynikajπce z okolicznoúci.

Relevant article: Art. 58 Kodeksu cywilnego.",True,False,[58]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oúwiadczeniach woli stosuje siÍ do innych oúwiadczeÒ:
    
            a) odpowiednio,
            b) wprost, chyba øe co innego wynika z ustawy
            c) wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.
            ",A,art. 651 k.c.,"Odpowiedü: c) wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.

Wyjaúnienie: Zgodnie z art. 65 Kodeksu cywilnego, przepisy o oúwiadczeniach woli stosuje siÍ odpowiednio do innych oúwiadczeÒ, chyba øe wynika co innego z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych. Oznacza to, øe ogÛlne zasady dotyczπce oúwiadczeÒ woli majπ zastosowanie do innych rodzajÛw oúwiadczeÒ, chyba øe specyfika danej sytuacji wymaga zastosowania innych regu≥ okreúlonych w treúci czynnoúci, okolicznoúciach lub przepisach szczegÛlnych.

Artyku≥: Kodeks cywilny - art. 65.",False,True,[65]
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do toøsamoúci oznaczonej:
    
            a) przenosi w≥asnoúÊ na nabywcÍ tylko wÛwczas, gdy nastπpi przeniesienie posiadania rzeczy
            b) przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y
            c) przenosi w≥asnoúÊ na nabywcÍ tylko wÛwczas, gdy przepis szczegÛlny tak stanowi.
            ",B,art. 155 ß 1 k.c.,"Poprawna odpowiedü to:

b) przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y

Wybierajπc odpowiedü b), odwo≥ujemy siÍ do przepisÛw Kodeksu cywilnego. Zgodnie z art. 556 ß 1 Kodeksu cywilnego, umowa darowizny rzeczy co do toøsamoúci oznaczonej przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y. Oznacza to, øe zwykle umowa darowizny rzeczy oznaczonej przenosi w≥asnoúÊ na nabywcÍ, chyba øe istnieje inna regulacja prawna lub strony postanowi≥y inaczej. Jest to zasada ogÛlna dotyczπca umÛw darowizny okreúlonych rzeczy.",True,False,[556]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w≥asnoúÊ nieruchomoúci:
    
            a) nie moøe byÊ przeniesiona pod warunkiem ani z zastrzeøeniem terminu
            b) nie moøe byÊ przeniesiona pod warunkiem, ale moøe byÊ przeniesiona z  zastrzeøeniem terminu
            c) moøe byÊ przeniesiona pod warunkiem, ale nie moøe byÊ przeniesiona z  zastrzeøeniem terminu.   
            ",A,art. 157 ß 1 k.c.,"Odpowiedü: b) nie moøe byÊ przeniesiona pod warunkiem, ale moøe byÊ przeniesiona z zastrzeøeniem terminu.

Wyjaúnienie: Zgodnie z polskim Kodeksem cywilnym, w≥asnoúÊ nieruchomoúci nie moøe byÊ przeniesiona pod warunkiem, natomiast moøe byÊ przeniesiona z zastrzeøeniem terminu. Oznacza to, øe przeniesienie w≥asnoúci nieruchomoúci moøe byÊ uzaleønione od up≥ywu okreúlonego terminu, ale nie moøe byÊ uzaleønione od spe≥nienia okreúlonego warunku.

Relevant article: Artyku≥ 158 Kodeksu cywilnego.",False,False,[158]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, jeøeli wiÍkszoúÊ wspÛ≥w≥aúcicieli postanawia dokonaÊ czynnoúci raøπco sprzecznej z zasadami prawid≥owego zarzπdu rzeczπ wspÛlnπ, rozstrzygniÍcia przez sπd:
    
            a) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ
            b) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej trzech, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ trzeciπ
            c) moøe øπdaÊ kaødy z pozosta≥ych wspÛ≥w≥aúcicieli.
            ",C,art. 202 k.c.,"Odpowiedü: a) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ.

Wyjaúnienie: Zgodnie z art. 227 Kodeksu cywilnego, jeøeli wiÍkszoúÊ wspÛ≥w≥aúcicieli postanawia dokonaÊ czynnoúci raøπco sprzecznej z zasadami prawid≥owego zarzπdu rzeczπ wspÛlnπ, to pozostali wspÛ≥w≥aúciciele, ktÛrych udzia≥y wynoszπ ≥πcznie co najmniej jednπ czwartπ, mogπ øπdaÊ rozstrzygniÍcia przez sπd. Zatem odpowiedü a) jest poprawna, poniewaø okreúla wymagane warunki dotyczπce liczby wspÛ≥w≥aúcicieli i udzia≥Ûw potrzebnych do z≥oøenia takiego øπdania.",False,False,[227]
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, ktÛra narusza w≥asnoúÊ w inny sposÛb aniøeli przez pozbawienie w≥aúciciela faktycznego w≥adztwa nad rzeczπ, przys≥uguje w≥aúcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego
            c) o przywrÛcenie stanu zgodnego z prawem i o zaniechanie naruszeÒ.
            ",C,art. 222 ß 2 k.c.,"Odpowiedü: b) o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego

Wyjaúnienie: Zgodnie z art. 222 Kodeksu cywilnego, przeciwko osobie, ktÛra narusza w≥asnoúÊ w inny sposÛb aniøeli przez pozbawienie w≥aúciciela faktycznego w≥adztwa nad rzeczπ, przys≥uguje w≥aúcicielowi roszczenie o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego. W≥aúciciel ma zatem moøliwoúÊ wyboru jednego z tych roszczeÒ, a dokonanie wyboru skutkuje wy≥πczeniem moøliwoúci dochodzenia drugiego roszczenia.

èrÛd≥o: Kodeks cywilny, art. 222.",False,True,[222]
