dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e:
    
            a) jest on w stanie kierowaæ swym postêpowaniem,
            b) ustanowiony zosta³ dla niego kurator
            c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.
            ",C,art. 13 § 2 k.c.,"OdpowiedŸ prawid³owa to c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.

Zgodnie z art. 164 § 1 Kodeksu cywilnego, dla osoby ubezw³asnowolnionej ca³kowicie ustanawia siê opiekê. Jednak¿e, zgodnie z art. 172 Kodeksu cywilnego, je¿eli osoba ubezw³asnowolniona ca³kowicie pozostaje pod w³adz¹ rodzicielsk¹, nie ustanawia siê dla niej opieki. W³adza rodzicielska obejmuje bowiem zarówno prawa, jak i obowi¹zki rodziców wobec dziecka, w tym obowi¹zek opieki. 

Odpowiedzi a) i b) s¹ nieprawid³owe, poniewa¿ zdolnoœæ do kierowania swoim postêpowaniem nie wy³¹cza koniecznoœci ustanowienia opieki dla osoby ubezw³asnowolnionej ca³kowicie (art. 164 § 1 Kodeksu cywilnego), a ustanowienie kuratora nie wyklucza mo¿liwoœci ustanowienia opieki (art. 181 Kodeksu cywilnego).",True,False,"[164, 172, 181]"
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej:
    
            a) pe³nomocnika, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            b) opiekuna, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³. 
            ",C,art. 42 § 1 k.c.,"OdpowiedŸ prawid³owa to c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³.

Zgodnie z art. 43 § 2 Kodeksu cywilnego, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej kuratora. Kurator podlega nadzorowi s¹du, który go ustanowi³, a nie s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej. 

Pe³nomocnik (odpowiedŸ a) i opiekun (odpowiedŸ b) nie s¹ odpowiednimi terminami w tym kontekœcie. Pe³nomocnik to osoba, która dzia³a w imieniu innej osoby na podstawie udzielonego jej pe³nomocnictwa, natomiast opiekun to osoba, która ma obowi¹zek opieki nad osob¹ niezdoln¹ do samodzielnego prowadzenia swoich spraw. W przypadku osób prawnych, które nie mog¹ byæ reprezentowane ze wzglêdu na brak organu lub brak w sk³adzie organu uprawnionego do ich reprezentowania, stosuje siê termin ""kurator"".",True,False,[43]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹:
    
            a) wy³¹cznie Skarbowi Pañstwa,
            b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym
            c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.
            ",B,art. 441 § 1 k.c.,"OdpowiedŸ prawid³owa to c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.

Zgodnie z art. 45 § 1 Kodeksu cywilnego, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom. Skarb Pañstwa to termin prawny oznaczaj¹cy mienie pañstwowe, które jest zarz¹dzane przez organy administracji rz¹dowej. Inne pañstwowe osoby prawne to na przyk³ad pañstwowe jednostki bud¿etowe, pañstwowe fundusze celowe, pañstwowe instytucje kultury. Gminy i ich zwi¹zki to natomiast jednostki samorz¹du terytorialnego, które równie¿ mog¹ posiadaæ w³asnoœæ i inne prawa maj¹tkowe.",False,False,[45]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za:
    
            a) jej czêœci sk³adowe,
            b) po¿ytki prawa
            c) jej przynale¿noœci
            ",A,art. 50 k.c.,"OdpowiedŸ: c) jej przynale¿noœci

Zgodnie z art. 47 § 1 Kodeksu cywilnego, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci, takie jak s³u¿ebnoœci, hipoteki, u¿ytkowanie wieczyste, s¹ uwa¿ane za przynale¿noœci tej nieruchomoœci. Przynale¿noœci to prawa lub rzeczy, które s¹ zwi¹zane z g³ówn¹ rzecz¹ (w tym przypadku nieruchomoœci¹) i s³u¿¹ jej u¿ytkowaniu w sposób zgodny z jej przeznaczeniem. 

Czêœci sk³adowe (odpowiedŸ a) to elementy, które nie mog¹ byæ oddzielone od g³ównej rzeczy bez jej uszkodzenia (art. 45 Kodeksu cywilnego), natomiast po¿ytki prawa (odpowiedŸ b) to korzyœci wynikaj¹ce z posiadania rzeczy lub prawa, które s¹ zgodne z ich przeznaczeniem (art. 144 Kodeksu cywilnego).",False,False,"[47, 45, 144]"
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, je¿eli sk³adaj¹cy oœwiadczenie woli, które ma byæ z³o¿one innej osobie, zmar³ zanim oœwiadczenie woli do tej osoby dosz³o, oœwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci
            c) traci moc wskutek tego, chyba ¿e co innego wynika z zasad wspó³¿ycia spo³ecznego.
            ",B,art. 62 k.c.,"OdpowiedŸ prawid³owa to b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci.

Zgodnie z art. 60 § 1 Kodeksu cywilnego, oœwiadczenie woli sk³adane innej osobie nie traci mocy wskutek œmierci osoby sk³adaj¹cej oœwiadczenie lub jej nabycia choroby uniemo¿liwiaj¹cej z³o¿enie oœwiadczenia woli, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci. 

Tak wiêc, je¿eli osoba sk³adaj¹ca oœwiadczenie woli zmar³a zanim oœwiadczenie dosz³o do adresata, oœwiadczenie to nie traci mocy, chyba ¿e z treœci oœwiadczenia, ustawy lub okolicznoœci wynika co innego.",True,False,[60]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oœwiadczeniach woli stosuje siê do innych oœwiadczeñ:
    
            a) odpowiednio,
            b) wprost, chyba ¿e co innego wynika z ustawy
            c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.
            ",A,art. 651 k.c.,"OdpowiedŸ: 

c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.

Wyjaœnienie:

Zgodnie z art. 60 § 1 Kodeksu cywilnego, przepisy o oœwiadczeniach woli stosuje siê wprost do innych oœwiadczeñ, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych. Oznacza to, ¿e zasady dotycz¹ce oœwiadczeñ woli, takie jak wymóg zrozumia³oœci, jednoznacznoœci, czy te¿ zasada, ¿e oœwiadczenie woli skierowane do drugiej osoby jest skuteczne z chwil¹, gdy dosz³o do niej w taki sposób, ¿e mog³a o nim dowiedzieæ siê, stosuje siê do wszystkich innych oœwiadczeñ, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.

Odniesienie do przepisu:

Art. 60 § 1 Kodeksu cywilnego.",False,False,[60]
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do to¿samoœci oznaczonej:
    
            a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy
            b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y
            c) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy przepis szczególny tak stanowi.
            ",B,art. 155 § 1 k.c.,"OdpowiedŸ prawid³owa to a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy.

Zgodnie z art. 158 § 1 Kodeksu cywilnego, umowa darowizny rzeczy oznaczonej co do to¿samoœci przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy. Jest to zasada, która obowi¹zuje w polskim prawie cywilnym, zgodnie z któr¹ przeniesienie w³asnoœci rzeczy ruchomej nastêpuje w momencie wydania jej nabywcy. Wyj¹tki od tej zasady s¹ œciœle okreœlone w przepisach prawa i nie dotycz¹ umowy darowizny.",False,False,[158]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci:
    
            a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu
            b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z  zastrze¿eniem terminu
            c) mo¿e byæ przeniesiona pod warunkiem, ale nie mo¿e byæ przeniesiona z  zastrze¿eniem terminu.   
            ",A,art. 157 § 1 k.c.,"OdpowiedŸ: 

b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z zastrze¿eniem terminu

Wyjaœnienie:

Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci mo¿e byæ przeniesiona z zastrze¿eniem terminu, ale nie mo¿e byæ przeniesiona pod warunkiem. Przeniesienie w³asnoœci nieruchomoœci pod warunkiem jest niedozwolone, poniewa¿ prawo polskie wymaga, aby przeniesienie w³asnoœci by³o bezwarunkowe i bezpoœrednie. Jednak¿e, przeniesienie w³asnoœci z zastrze¿eniem terminu jest dozwolone, co oznacza, ¿e przeniesienie w³asnoœci mo¿e nast¹piæ w okreœlonym czasie w przysz³oœci.

Artyku³ w Kodeksie cywilnym:

Artyku³ 158 § 1 Kodeksu cywilnego mówi: ""Zaœwiadczenie o przeniesieniu w³asnoœci nieruchomoœci powinno byæ bezwarunkowe"". To oznacza, ¿e przeniesienie w³asnoœci nieruchomoœci nie mo¿e byæ pod warunkiem. Jednak¿e, nie ma przepisu, który by zabrania³ przeniesienia w³asnoœci nieruchomoœci z zastrze¿eniem terminu.",False,True,"[158, 157]"
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, rozstrzygniêcia przez s¹d:
    
            a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹
            b) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej trzech, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ trzeci¹
            c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.
            ",C,art. 202 k.c.,"OdpowiedŸ prawid³owa to c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.

Zgodnie z art. 198 § 2 Kodeksu cywilnego, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, ka¿dy z pozosta³ych wspó³w³aœcicieli mo¿e ¿¹daæ rozstrzygniêcia przez s¹d. Nie ma tu wymogu, aby ¿¹danie to zg³asza³o kilku wspó³w³aœcicieli ³¹cznie lub aby ich udzia³y wynosi³y ³¹cznie okreœlon¹ czêœæ. Ka¿dy wspó³w³aœciciel ma prawo do ochrony swojego interesu w ramach wspó³w³asnoœci, niezale¿nie od wielkoœci swojego udzia³u.",True,False,[198]
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego
            c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.
            ",C,art. 222 § 2 k.c.,"OdpowiedŸ prawid³owa to c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.

Zgodnie z art. 222 § 1 Kodeksu cywilnego, w³aœciciel mo¿e ¿¹daæ od osoby, która narusza jego prawo w inny sposób ni¿ przez pozbawienie go faktycznego w³adztwa nad rzecz¹, zaprzestania naruszeñ oraz przywrócenia stanu zgodnego z prawem. W³aœciciel ma wiêc prawo do ¿¹dania obu tych dzia³añ jednoczeœnie, a nie musi wybieraæ miêdzy nimi, jak sugeruje odpowiedŸ b). OdpowiedŸ a) jest nieprawid³owa, poniewa¿ roszczenie o wydanie rzeczy dotyczy sytuacji, w której w³aœciciel zosta³ pozbawiony faktycznego w³adztwa nad rzecz¹, co nie jest przedmiotem pytania.",True,True,[222]
