dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e:
    
            a) jest on w stanie kierowaæ swym postêpowaniem,
            b) ustanowiony zosta³ dla niego kurator
            c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.
            ",C,art. 13 § 2 k.c.,"Poprawna odpowiedŸ to: **c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.**

**Wyjaœnienie:**
Zgodnie z Kodeksem cywilnym, osoba ubezw³asnowolniona ca³kowicie wymaga ustanowienia opieki, jednak¿e istniej¹ wyj¹tki od tej zasady. Jednym z takich wyj¹tków jest sytuacja, gdy osoba ta pozostaje pod w³adz¹ rodzicielsk¹. W takim przypadku w³adza rodzicielska sprawowana przez rodziców wy³¹cza koniecznoœæ ustanawiania opieki.

Zgodnie z art. 12 Kodeksu cywilnego, ""ubezw³asnowolnienie ca³kowite poci¹ga za sob¹ ustanowienie opieki, chyba ¿e osoba ubezw³asnowolniona pozostaje pod w³adz¹ rodzicielsk¹"". 

W zwi¹zku z tym, odpowiedŸ c) jest poprawna, poniewa¿ w³adza rodzicielska sprawowana nad osob¹ ubezw³asnowolnion¹ ca³kowicie wyklucza potrzebê ustanawiania opieki. 

**Przypisane przepisy:**
- Kodeks cywilny, art. 12.",True,False,[12]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej:
    
            a) pe³nomocnika, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            b) opiekuna, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³. 
            ",C,art. 42 § 1 k.c.,"OdpowiedŸ: c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, w sytuacji, gdy osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw z powodu braku organu lub braku w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ma obowi¹zek ustanowiæ kuratora. Kurator ten dzia³a w imieniu osoby prawnej i podlega nadzorowi s¹du, który go ustanowi³. 

Odpowiednie przepisy znajduj¹ siê w Kodeksie cywilnym, w szczególnoœci w art. 40, który stanowi, ¿e ""je¿eli osoba prawna nie mo¿e byæ reprezentowana, s¹d ustanawia dla niej kuratora"". Kurator ma za zadanie dbaæ o interesy osoby prawnej i podejmowaæ dzia³ania niezbêdne do jej reprezentacji.

Podsumowuj¹c, odpowiedŸ c) jest poprawna, poniewa¿ to kurator jest instytucj¹ przewidzian¹ w Kodeksie cywilnym do reprezentowania osoby prawnej w opisanej sytuacji.",True,True,[42]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹:
    
            a) wy³¹cznie Skarbowi Pañstwa,
            b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym
            c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.
            ",B,art. 441 § 1 k.c.,"OdpowiedŸ: c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, mienie pañstwowe obejmuje nie tylko w³asnoœæ Skarbu Pañstwa, ale tak¿e mienie, które przys³uguje innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom. W³aœciwe przepisy dotycz¹ce mienia pañstwowego mo¿na znaleŸæ w Kodeksie cywilnym, w szczególnoœci w art. 1 oraz art. 2, które definiuj¹ pojêcie w³asnoœci oraz inne prawa maj¹tkowe. 

Art. 1 Kodeksu cywilnego stanowi, ¿e ""w³asnoœæ i inne prawa maj¹tkowe mog¹ przys³ugiwaæ osobom fizycznym i prawnym"", a art. 2 wskazuje, ¿e ""mienie pañstwowe jest mieniem, które przys³uguje Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom"". 

Z tego wynika, ¿e odpowiedŸ c) jest poprawna, poniewa¿ obejmuje wszystkie podmioty, którym przys³uguje mienie pañstwowe.",False,True,"[1, 2]"
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za:
    
            a) jej czêœci sk³adowe,
            b) po¿ytki prawa
            c) jej przynale¿noœci
            ",A,art. 50 k.c.,"OdpowiedŸ: a) jej czêœci sk³adowe.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ traktowane jako jej czêœci sk³adowe. Zgodnie z art. 48 Kodeksu cywilnego, ""czêœciami sk³adowymi rzeczy s¹ rzeczy, które nie mog¹ byæ od niej oddzielone bez uszkodzenia, a tak¿e rzeczy, które s¹ z ni¹ trwale zwi¹zane"". W kontekœcie nieruchomoœci, do czêœci sk³adowych zalicza siê m.in. budynki, które s¹ trwale zwi¹zane z gruntem. 

Natomiast po¿ytki prawa (odpowiedŸ b) odnosz¹ siê do korzyœci, jakie mo¿na uzyskaæ z posiadania rzeczy, a przynale¿noœci (odpowiedŸ c) to rzeczy, które s¹ zwi¹zane z inn¹ rzecz¹, ale nie s¹ jej czêœci¹ sk³adow¹. 

Podsumowuj¹c, odpowiedŸ a) jest poprawna, poniewa¿ prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ traktowane jako jej czêœci sk³adowe zgodnie z art. 48 Kodeksu cywilnego.",True,False,[48]
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, je¿eli sk³adaj¹cy oœwiadczenie woli, które ma byæ z³o¿one innej osobie, zmar³ zanim oœwiadczenie woli do tej osoby dosz³o, oœwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci
            c) traci moc wskutek tego, chyba ¿e co innego wynika z zasad wspó³¿ycia spo³ecznego.
            ",B,art. 62 k.c.,"OdpowiedŸ: b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, oœwiadczenie woli, które zosta³o z³o¿one przez osobê, która nastêpnie zmar³a przed jego dotarciem do adresata, nie traci mocy, chyba ¿e z treœci oœwiadczenia, z przepisów ustawy lub z okolicznoœci wynika coœ innego. Oznacza to, ¿e zasadniczo oœwiadczenie woli pozostaje wa¿ne, a jego skutki prawne mog¹ siê zrealizowaæ, o ile nie ma wyraŸnych przes³anek wskazuj¹cych na to, ¿e powinno byæ inaczej.

Odpowiedni przepis Kodeksu cywilnego to art. 61, który stanowi, ¿e oœwiadczenie woli wywo³uje skutki prawne, gdy dotrze do adresata, a œmieræ sk³adaj¹cego oœwiadczenie nie wp³ywa na jego moc, chyba ¿e w treœci oœwiadczenia lub w przepisach prawa przewidziano inaczej.

Przypisany artyku³:
- Kodeks cywilny, art. 61.",True,False,[61]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oœwiadczeniach woli stosuje siê do innych oœwiadczeñ:
    
            a) odpowiednio,
            b) wprost, chyba ¿e co innego wynika z ustawy
            c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.
            ",A,art. 651 k.c.,"Poprawna odpowiedŸ to: **c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.**

**Wyjaœnienie:**
Zgodnie z Kodeksem cywilnym, przepisy dotycz¹ce oœwiadczeñ woli stosuje siê do innych oœwiadczeñ wprost, ale z zastrze¿eniem, ¿e mog¹ wystêpowaæ szczególne okolicznoœci, które mog¹ wp³ywaæ na interpretacjê tych oœwiadczeñ. Oznacza to, ¿e w przypadku, gdy treœæ czynnoœci, okolicznoœci lub przepisy szczególne wskazuj¹ na inne zasady, to te zasady bêd¹ mia³y pierwszeñstwo przed ogólnymi przepisami o oœwiadczeniach woli.

Odpowiedni przepis znajduje siê w Kodeksie cywilnym w art. 60, który stanowi, ¿e ""oœwiadczenie woli nale¿y tak interpretowaæ, jak tego chcia³ sk³adaj¹cy to oœwiadczenie, a nie jak to rozumia³oby to osoba trzecia"". W kontekœcie tego artyku³u, mo¿na stwierdziæ, ¿e interpretacja oœwiadczeñ woli powinna uwzglêdniaæ nie tylko ogólne zasady, ale tak¿e specyfikê danej sytuacji.

**Przypis do przepisów:**
- Kodeks cywilny, art. 60.",False,False,[60]
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do to¿samoœci oznaczonej:
    
            a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy
            b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y
            c) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy przepis szczególny tak stanowi.
            ",B,art. 155 § 1 k.c.,"OdpowiedŸ: b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy oznaczonej co do to¿samoœci przenosi w³asnoœæ na obdarowanego z chwil¹ zawarcia umowy, chyba ¿e strony umowy postanowi³y inaczej lub istnieje przepis szczególny, który reguluje tê kwestiê. Zgodnie z art. 888 § 1 Kodeksu cywilnego, ""przez umowê darowizny darczyñca zobowi¹zuje siê do nieodp³atnego œwiadczenia na rzecz obdarowanego, a obdarowany do przyjêcia tego œwiadczenia"". W przypadku rzeczy oznaczonej co do to¿samoœci, przeniesienie w³asnoœci nastêpuje z chwil¹ zawarcia umowy, co oznacza, ¿e nie jest konieczne przeniesienie posiadania, chyba ¿e umowa lub przepisy szczególne stanowi¹ inaczej.

Odniesienie do przepisów: Kodeks cywilny, art. 888.",True,False,[888]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci:
    
            a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu
            b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z  zastrze¿eniem terminu
            c) mo¿e byæ przeniesiona pod warunkiem, ale nie mo¿e byæ przeniesiona z  zastrze¿eniem terminu.   
            ",A,art. 157 § 1 k.c.,"OdpowiedŸ: a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, przeniesienie w³asnoœci nieruchomoœci musi byæ dokonane w formie aktu notarialnego, a przepisy dotycz¹ce przeniesienia w³asnoœci nieruchomoœci s¹ zawarte w art. 158 Kodeksu cywilnego. Zgodnie z tym artyku³em, przeniesienie w³asnoœci nieruchomoœci nie mo¿e byæ dokonane pod warunkiem ani z zastrze¿eniem terminu. Oznacza to, ¿e w³asnoœæ nieruchomoœci musi byæ przeniesiona w sposób bezwarunkowy i natychmiastowy, co jest kluczowe dla zapewnienia pewnoœci obrotu prawnego.

Odpowiednie przepisy:
- Art. 158 Kodeksu cywilnego: ""Przeniesienie w³asnoœci nieruchomoœci wymaga zachowania formy aktu notarialnego. Przeniesienie w³asnoœci nieruchomoœci nie mo¿e byæ dokonane pod warunkiem ani z zastrze¿eniem terminu."" 

W zwi¹zku z tym, odpowiedŸ a) jest poprawna.",True,False,[158]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, rozstrzygniêcia przez s¹d:
    
            a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹
            b) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej trzech, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ trzeci¹
            c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.
            ",C,art. 202 k.c.,"OdpowiedŸ: a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹.

Wyjaœnienie: Zgodnie z art. 199 Kodeksu cywilnego, je¿eli wiêkszoœæ wspó³w³aœcicieli podejmuje decyzje, które s¹ ra¿¹co sprzeczne z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, pozostali wspó³w³aœciciele maj¹ prawo ¿¹daæ rozstrzygniêcia przez s¹d. Wymagane jest, aby by³o ich przynajmniej dwóch, a ich ³¹czne udzia³y wynosi³y co najmniej jedn¹ czwart¹. 

Artyku³ 199 Kodeksu cywilnego brzmi:
„§ 1. Wspó³w³aœciciele mog¹ ¿¹daæ rozstrzygania przez s¹d spraw dotycz¹cych zarz¹du rzecz¹ wspóln¹, je¿eli nie mog¹ dojœæ do porozumienia w tej sprawie. 
§ 2. W przypadku, gdy wiêkszoœæ wspó³w³aœcicieli podejmuje decyzje ra¿¹co sprzeczne z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, pozostali wspó³w³aœciciele mog¹ ¿¹daæ rozstrzygania przez s¹d, je¿eli jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie co najmniej jedn¹ czwart¹.”

Z tego wynika, ¿e odpowiedŸ a) jest poprawna, poniewa¿ spe³nia wymogi okreœlone w przepisach. Odpowiedzi b) i c) s¹ nieprawid³owe, poniewa¿ nie odpowiadaj¹ wymaganiom prawnym zawartym w Kodeksie cywilnym.",False,False,[199]
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego
            c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.
            ",C,art. 222 § 2 k.c.,"OdpowiedŸ: b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego.

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, w³aœciciel ma prawo do ochrony swojej w³asnoœci nie tylko w przypadku pozbawienia go w³adztwa nad rzecz¹, ale tak¿e w sytuacjach, gdy dochodzi do naruszenia jego praw w inny sposób. W takich przypadkach, zgodnie z art. 222 § 1 Kodeksu cywilnego, w³aœciciel mo¿e ¿¹daæ przywrócenia stanu zgodnego z prawem (czyli usuniêcia naruszenia) lub zaniechania dalszych naruszeñ. Wybór jednego z tych roszczeñ skutkuje wygaœniêciem drugiego, co oznacza, ¿e w³aœciciel musi zdecydowaæ, które z roszczeñ chce zrealizowaæ.

Odpowiednie przepisy Kodeksu cywilnego:
- Art. 222 § 1: ""W³aœciciel mo¿e ¿¹daæ, aby ten, kto narusza jego w³asnoœæ, przywróci³ stan zgodny z prawem albo zaniecha³ naruszeñ.""

W zwi¹zku z tym, odpowiedŸ b) jest poprawna, poniewa¿ odzwierciedla zasady ochrony w³asnoœci w Kodeksie cywilnym.",False,True,[222]
