dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e:
    
            a) jest on w stanie kierowaæ swym postêpowaniem,
            b) ustanowiony zosta³ dla niego kurator
            c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.
            ",C,art. 13 § 2 k.c.,"OdpowiedŸ: c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.

Wyjaœnienie: Zgodnie z art. 13 § 2 Kodeksu cywilnego, dla osoby ubezw³asnowolnionej ca³kowicie ustanawia siê opiekê, chyba ¿e osoba ta pozostaje jeszcze pod w³adz¹ rodzicielsk¹. W takim przypadku nie ma potrzeby ustanawiania opieki, poniewa¿ w³adza rodzicielska zapewnia odpowiedni¹ ochronê i nadzór nad osob¹ ubezw³asnowolnion¹.

Podstawa prawna: Art. 13 § 2 Kodeksu cywilnego.",True,True,[13]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej:
    
            a) pe³nomocnika, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            b) opiekuna, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³. 
            ",C,art. 42 § 1 k.c.,"OdpowiedŸ: c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³.

Wyjaœnienie: Zgodnie z art. 42 § 1 Kodeksu cywilnego, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej kuratora. Kurator ten podlega nadzorowi s¹du, który go ustanowi³.

Podstawa prawna: Art. 42 § 1 Kodeksu cywilnego (Dz.U. 1964 nr 16 poz. 93 z póŸn. zm.).",True,True,[42]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹:
    
            a) wy³¹cznie Skarbowi Pañstwa,
            b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym
            c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.
            ",B,art. 441 § 1 k.c.,"OdpowiedŸ: b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym

Wyjaœnienie: Zgodnie z art. 44 Kodeksu cywilnego, mienie pañstwowe mo¿e przys³ugiwaæ zarówno Skarbowi Pañstwa, jak i innym pañstwowym osobom prawnym. Oznacza to, ¿e w³asnoœæ i inne prawa maj¹tkowe mog¹ byæ przypisane nie tylko Skarbowi Pañstwa, ale równie¿ innym jednostkom organizacyjnym, które posiadaj¹ osobowoœæ prawn¹ i s¹ w³asnoœci¹ pañstwa.

Podstawa prawna: Art. 44 Kodeksu cywilnego (Dz.U. 1964 nr 16 poz. 93 z póŸn. zm.):

""Art. 44. Mieniem pañstwowym jest w³asnoœæ i inne prawa maj¹tkowe, które przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym.""",True,True,[44]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za:
    
            a) jej czêœci sk³adowe,
            b) po¿ytki prawa
            c) jej przynale¿noœci
            ",A,art. 50 k.c.,"OdpowiedŸ: a) jej czêœci sk³adowe

Wyjaœnienie: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za jej czêœci sk³adowe. Jest to okreœlone w art. 50 Kodeksu cywilnego, który stanowi, ¿e prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ jej czêœciami sk³adowymi. Oznacza to, ¿e wszelkie prawa, które s¹ zwi¹zane z nieruchomoœci¹, s¹ traktowane jako integralna czêœæ tej nieruchomoœci.

Podstawa prawna: Art. 50 Kodeksu cywilnego:
""Prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ jej czêœciami sk³adowymi.""",True,True,[50]
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, je¿eli sk³adaj¹cy oœwiadczenie woli, które ma byæ z³o¿one innej osobie, zmar³ zanim oœwiadczenie woli do tej osoby dosz³o, oœwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci
            c) traci moc wskutek tego, chyba ¿e co innego wynika z zasad wspó³¿ycia spo³ecznego.
            ",B,art. 62 k.c.,"OdpowiedŸ: b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci

Wyjaœnienie: Zgodnie z art. 61 § 2 Kodeksu cywilnego, oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy wskutek œmierci sk³adaj¹cego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci. Oznacza to, ¿e œmieræ osoby sk³adaj¹cej oœwiadczenie woli nie wp³ywa automatycznie na jego wa¿noœæ, chyba ¿e istniej¹ szczególne okolicznoœci, które wskazuj¹ na inn¹ interpretacjê.

Podstawa prawna: Art. 61 § 2 Kodeksu cywilnego:
„Oœwiadczenie woli, które ma byæ z³o¿one innej osobie, jest z³o¿one z chwil¹, gdy dosz³o do niej w taki sposób, ¿e mog³a zapoznaæ siê z jego treœci¹. Oœwiadczenie woli nie traci mocy wskutek œmierci sk³adaj¹cego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci.”",True,False,[61]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oœwiadczeniach woli stosuje siê do innych oœwiadczeñ:
    
            a) odpowiednio,
            b) wprost, chyba ¿e co innego wynika z ustawy
            c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.
            ",A,art. 651 k.c.,"OdpowiedŸ: c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.

Wyjaœnienie: Zgodnie z art. 60 Kodeksu cywilnego, przepisy o oœwiadczeniach woli stosuje siê wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych. Oznacza to, ¿e zasady dotycz¹ce sk³adania oœwiadczeñ woli maj¹ bezpoœrednie zastosowanie do innych oœwiadczeñ, chyba ¿e istniej¹ szczególne okolicznoœci lub przepisy, które stanowi¹ inaczej.

Podstawa prawna: Art. 60 Kodeksu cywilnego (Dz.U. 1964 nr 16 poz. 93 z póŸn. zm.).",False,False,[60]
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do to¿samoœci oznaczonej:
    
            a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy
            b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y
            c) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy przepis szczególny tak stanowi.
            ",B,art. 155 § 1 k.c.,"OdpowiedŸ: b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y

Wyjaœnienie: Zgodnie z art. 155 § 1 Kodeksu cywilnego, umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci rzeczy oznaczonej co do to¿samoœci przenosi w³asnoœæ na nabywcê z chwil¹ jej zawarcia, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y. Oznacza to, ¿e przeniesienie w³asnoœci nastêpuje automatycznie z chwil¹ zawarcia umowy, chyba ¿e istniej¹ inne przepisy lub ustalenia miêdzy stronami, które to zmieniaj¹.

Podstawa prawna: Art. 155 § 1 Kodeksu cywilnego (Dz.U. 1964 nr 16 poz. 93 z póŸn. zm.).",True,True,[155]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci:
    
            a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu
            b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z  zastrze¿eniem terminu
            c) mo¿e byæ przeniesiona pod warunkiem, ale nie mo¿e byæ przeniesiona z  zastrze¿eniem terminu.   
            ",A,art. 157 § 1 k.c.,"OdpowiedŸ: a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu

Wyjaœnienie: Zgodnie z art. 157 § 1 Kodeksu cywilnego, w³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu. Przepis ten ma na celu zapewnienie pewnoœci obrotu prawnego nieruchomoœciami, co jest szczególnie istotne ze wzglêdu na ich znaczenie gospodarcze i spo³eczne.

Podstawa prawna: Art. 157 § 1 Kodeksu cywilnego (Dz.U. 1964 nr 16 poz. 93 z póŸn. zm.):

""§ 1. W³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu.""",True,True,[157]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, rozstrzygniêcia przez s¹d:
    
            a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹
            b) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej trzech, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ trzeci¹
            c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.
            ",C,art. 202 k.c.,"OdpowiedŸ: c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.

Wyjaœnienie: Zgodnie z art. 201 Kodeksu cywilnego, do czynnoœci przekraczaj¹cych zakres zwyk³ego zarz¹du rzecz¹ wspóln¹ potrzebna jest zgoda wszystkich wspó³w³aœcicieli. Je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, ka¿dy z pozosta³ych wspó³w³aœcicieli mo¿e ¿¹daæ rozstrzygniêcia przez s¹d. 

Podstawa prawna: Art. 201 Kodeksu cywilnego:
„Do czynnoœci przekraczaj¹cych zakres zwyk³ego zarz¹du rzecz¹ wspóln¹ potrzebna jest zgoda wszystkich wspó³w³aœcicieli. W braku zgody wspó³w³aœcicieli, ka¿dy z nich mo¿e ¿¹daæ rozstrzygniêcia przez s¹d, który orzeka maj¹c na wzglêdzie cel zamierzonej czynnoœci oraz interesy wszystkich wspó³w³aœcicieli.”",True,False,[201]
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego
            c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.
            ",C,art. 222 § 2 k.c.,"OdpowiedŸ: c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.

Wyjaœnienie: Zgodnie z art. 222 § 2 Kodeksu cywilnego, w³aœcicielowi przys³uguje roszczenie o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ przeciwko osobie, która narusza jego w³asnoœæ w inny sposób ni¿ przez pozbawienie faktycznego w³adztwa nad rzecz¹. Oznacza to, ¿e w³aœciciel mo¿e domagaæ siê zarówno przywrócenia stanu zgodnego z prawem, jak i zaprzestania dalszych naruszeñ.

Podstawa prawna: Art. 222 § 2 Kodeksu cywilnego:
„Przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.”",True,True,[222]
