dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw≥asnowolnionego ca≥kowicie ustanawia siÍ opiekÍ, chyba øe:
    
            a) jest on w stanie kierowaÊ swym postÍpowaniem,
            b) ustanowiony zosta≥ dla niego kurator
            c) pozostaje on jeszcze pod w≥adzπ rodzicielskπ.
            ",C,art. 13 ß 2 k.c.,"Poprawna odpowiedü to opcja c) pozostaje on jeszcze pod w≥adzπ rodzicielskπ.

Zgodnie z art. 13 ß 2 Kodeksu cywilnego, dla osoby ubezw≥asnowolnionej ca≥kowicie ustanawia siÍ opiekÍ, chyba øe pozostaje ona jeszcze pod w≥adzπ rodzicielskπ. W przypadku, gdy osoba ubezw≥asnowolniona ca≥kowicie pozostaje pod w≥adzπ rodzicielskπ, nie jest konieczne ustanowienie opieki, poniewaø rodzice nadal sprawujπ nad niπ odpowiedniπ opiekÍ i decydujπ w jej imieniu.

Artyku≥: Kodeks cywilny, Art. 13 ß 2.",True,True,[13]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, jeøeli osoba prawna nie moøe byÊ reprezentowana lub prowadziÊ swoich spraw ze wzglÍdu na brak organu albo brak w sk≥adzie organu uprawnionego do jej reprezentowania, sπd ustanawia dla niej:
    
            a) pe≥nomocnika, ktÛry podlega nadzorowi sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej
            b) opiekuna, ktÛry podlega nadzorowi sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej
            c) kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥. 
            ",C,art. 42 ß 1 k.c.,"Poprawna odpowiedü to:

c) kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥.

WybÛr c) jest zgodny z art. 42 Kodeksu cywilnego. Zgodnie z tym artyku≥em, jeøeli osoba prawna nie moøe byÊ reprezentowana lub prowadziÊ swoich spraw ze wzglÍdu na brak organu lub brak w sk≥adzie organu uprawnionego do jej reprezentowania, sπd ustanawia dla niej kuratora. Kurator podlega nadzorowi sπdu, ktÛry go ustanowi≥. Jest to tymczasowe rozwiπzanie majπce na celu zapewnienie reprezentacji i prowadzenia spraw osoby prawnej do czasu powo≥ania lub uzupe≥nienia organu odpowiedzialnego za reprezentacjÍ.",True,True,[42]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w≥asnoúÊ i inne prawa majπtkowe, stanowiπce mienie paÒstwowe, przys≥ugujπ:
    
            a) wy≥πcznie Skarbowi PaÒstwa,
            b) Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym
            c) Skarbowi PaÒstwa, innym paÒstwowym osobom prawnym oraz gminom i ich zwiπzkom.
            ",B,art. 441 ß 1 k.c.,"Poprawna odpowiedü to:

b) Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym

Zgodnie z art. 441 ß 1 Kodeksu cywilnego, w≥asnoúÊ i inne prawa majπtkowe, stanowiπce mienie paÒstwowe, przys≥ugujπ Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym. Oznacza to, øe oprÛcz Skarbu PaÒstwa, inne paÒstwowe osoby prawne rÛwnieø mogπ byÊ beneficjentami prawa w≥asnoúci i innych praw majπtkowych stanowiπcych mienie paÒstwowe.

Artyku≥: Kodeks cywilny, Art. 441 ß 1.",True,True,[441]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwiπzane z w≥asnoúciπ nieruchomoúci uwaøa siÍ za:
    
            a) jej czÍúci sk≥adowe,
            b) poøytki prawa
            c) jej przynaleønoúci
            ",A,art. 50 k.c.,"Odpowiedü: a) jej czÍúci sk≥adowe

Wybieram odpowiedü a), poniewaø zgodnie z art. 50 Kodeksu cywilnego, za czÍúci sk≥adowe nieruchomoúci uwaøa siÍ takøe prawa zwiπzane z jej w≥asnoúciπ. Oznacza to, øe prawa zwiπzane z w≥asnoúciπ nieruchomoúci sπ traktowane jako integralne elementy nieruchomoúci, stanowiπc ich czÍúci sk≥adowe.

Artyku≥ 50 Kodeksu cywilnego stanowi: ""Za czÍúci sk≥adowe nieruchomoúci uwaøa siÍ takøe prawa zwiπzane z jej w≥asnoúciπ."" Jest to kluczowe ustalenie dotyczπce prawa zwiπzanych z w≥asnoúciπ nieruchomoúci.",True,True,[50]
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, jeøeli sk≥adajπcy oúwiadczenie woli, ktÛre ma byÊ z≥oøone innej osobie, zmar≥ zanim oúwiadczenie woli do tej osoby dosz≥o, oúwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci
            c) traci moc wskutek tego, chyba øe co innego wynika z zasad wspÛ≥øycia spo≥ecznego.
            ",B,art. 62 k.c.,"Poprawna odpowiedü to:

b) nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci

WybÛr b) jest poprawny zgodnie z art. 62 Kodeksu cywilnego. Zgodnie z tym artyku≥em, oúwiadczenie woli, ktÛre ma byÊ z≥oøone innej osobie, nie traci mocy wskutek tego, øe zanim do tej osoby dosz≥o, sk≥adajπcy je zmar≥ lub utraci≥ zdolnoúÊ do czynnoúci prawnych, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci. Oznacza to, øe oúwiadczenie woli moøe nadal byÊ waøne, chyba øe istniejπ inne okolicznoúci, ktÛre wp≥ywajπ na jego waønoúÊ.

Artyku≥ 62 Kodeksu cywilnego reguluje sytuacjÍ, gdy sk≥adajπcy oúwiadczenie woli zmar≥ zanim oúwiadczenie to dosz≥o do osoby, ktÛrej by≥o skierowane.",True,True,[62]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oúwiadczeniach woli stosuje siÍ do innych oúwiadczeÒ:
    
            a) odpowiednio,
            b) wprost, chyba øe co innego wynika z ustawy
            c) wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.
            ",A,art. 651 k.c.,"Poprawna odpowiedü to:

c) wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.

WybÛr c) jest zgodny z przepisami Kodeksu cywilnego, ktÛre okreúlajπ, øe przepisy o oúwiadczeniach woli stosuje siÍ wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych. Oznacza to, øe zasady dotyczπce oúwiadczeÒ woli majπ zastosowanie bezpoúrednio, chyba øe istniejπ szczegÛlne okolicznoúci lub przepisy, ktÛre nak≥adajπ inne wymagania lub ograniczenia.

Przepis Kodeksu cywilnego potwierdzajπcy powyøsze to:
- Art. 83. Kodeksu cywilnego, ktÛry mÛwi o niewaønoúci oúwiadczenia woli z≥oøonego drugiej stronie za jej zgodπ dla pozoru, oraz o skutecznoúci odp≥atnej czynnoúci prawnej, nawet jeúli oúwiadczenie by≥o pozorne, pod warunkiem, øe osoba trzecia dzia≥a≥a w dobrej wierze.",False,True,"[83, 651]"
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do toøsamoúci oznaczonej:
    
            a) przenosi w≥asnoúÊ na nabywcÍ tylko wÛwczas, gdy nastπpi przeniesienie posiadania rzeczy
            b) przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y
            c) przenosi w≥asnoúÊ na nabywcÍ tylko wÛwczas, gdy przepis szczegÛlny tak stanowi.
            ",B,art. 155 ß 1 k.c.,"Poprawna odpowiedü to:

b) przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y.

WybÛr b) jest poprawny, poniewaø zgodnie z art. 155 ß 1 Kodeksu cywilnego, umowa darowizny przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej lub strony inaczej postanowi≥y. Oznacza to, øe zasada przeniesienia w≥asnoúci w umowie darowizny rzeczy co do toøsamoúci oznaczonej obowiπzuje, chyba øe istnieje odmienne uregulowanie w przepisach lub umowie miÍdzy stronami.

Artyku≥: Art. 155 ß 1 Kodeksu cywilnego.",True,True,[155]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w≥asnoúÊ nieruchomoúci:
    
            a) nie moøe byÊ przeniesiona pod warunkiem ani z zastrzeøeniem terminu
            b) nie moøe byÊ przeniesiona pod warunkiem, ale moøe byÊ przeniesiona z  zastrzeøeniem terminu
            c) moøe byÊ przeniesiona pod warunkiem, ale nie moøe byÊ przeniesiona z  zastrzeøeniem terminu.   
            ",A,art. 157 ß 1 k.c.,"Poprawna odpowiedü to:

c) moøe byÊ przeniesiona pod warunkiem, ale nie moøe byÊ przeniesiona z zastrzeøeniem terminu.

WybÛr c) jest poprawny, poniewaø zgodnie z art. 157 ß 1 Kodeksu cywilnego, w≥asnoúÊ nieruchomoúci nie moøe byÊ przeniesiona pod warunkiem ani z zastrzeøeniem terminu. Oznacza to, øe przeniesienie w≥asnoúci nieruchomoúci musi odbyÊ siÍ bezwarunkowo, bez øadnych dodatkowych warunkÛw lub zastrzeøeÒ co do czasu wykonania transakcji.

Artyku≥ 157 Kodeksu cywilnego stanowi: ""W≥asnoúÊ nieruchomoúci nie moøe byÊ przeniesiona pod warunkiem ani z zastrzeøeniem terminu.""",False,True,[157]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, jeøeli wiÍkszoúÊ wspÛ≥w≥aúcicieli postanawia dokonaÊ czynnoúci raøπco sprzecznej z zasadami prawid≥owego zarzπdu rzeczπ wspÛlnπ, rozstrzygniÍcia przez sπd:
    
            a) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ
            b) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej trzech, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ trzeciπ
            c) moøe øπdaÊ kaødy z pozosta≥ych wspÛ≥w≥aúcicieli.
            ",C,art. 202 k.c.,"Poprawna odpowiedü to:

a) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ

Zgodnie z art. 199 Kodeksu cywilnego, do rozporzπdzania rzeczπ wspÛlnπ oraz do innych czynnoúci, ktÛre przekraczajπ zakres zwyk≥ego zarzπdu, potrzebna jest zgoda wszystkich wspÛ≥w≥aúcicieli. W braku takiej zgody wspÛ≥w≥aúciciele, ktÛrych udzia≥y wynoszπ co najmniej po≥owÍ, mogπ øπdaÊ rozstrzygniÍcia przez sπd. W przypadku raøπco sprzecznej czynnoúci z zasadami prawid≥owego zarzπdu rzeczπ wspÛlnπ, wszyscy pozostali wspÛ≥w≥aúciciele mogπ øπdaÊ rozstrzygniÍcia przez sπd, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ.",False,True,"[199, 202]"
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, ktÛra narusza w≥asnoúÊ w inny sposÛb aniøeli przez pozbawienie w≥aúciciela faktycznego w≥adztwa nad rzeczπ, przys≥uguje w≥aúcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego
            c) o przywrÛcenie stanu zgodnego z prawem i o zaniechanie naruszeÒ.
            ",C,art. 222 ß 2 k.c.,"Poprawna odpowiedü to:

b) o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego

WybÛr tej odpowiedzi wynika z artyku≥u 222 ß 2 Kodeksu cywilnego, ktÛry stanowi, øe przeciwko osobie, ktÛra narusza w≥asnoúÊ w inny sposÛb aniøeli przez pozbawienie w≥aúciciela faktycznego w≥adztwa nad rzeczπ, przys≥uguje w≥aúcicielowi roszczenie o przywrÛcenie stanu zgodnego z prawem i o zaniechanie naruszeÒ. W≥aúciciel ma moøliwoúÊ wyboru miÍdzy przywrÛceniem stanu zgodnego z prawem a zaniechaniem naruszeÒ, przy czym wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego.

Artyku≥: 222 ß 2 Kodeksu cywilnego.",False,True,[222]
