dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e:
    
            a) jest on w stanie kierowaæ swym postêpowaniem,
            b) ustanowiony zosta³ dla niego kurator
            c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.
            ",C,art. 13 § 2 k.c.,"Poprawna odpowiedŸ to **c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹**.

### Wyjaœnienie:
Zgodnie z art. 13 § 2 Kodeksu cywilnego, dla osoby ubezw³asnowolnionej ca³kowicie ustanawia siê opiekê, chyba ¿e pozostaje ona jeszcze pod w³adz¹ rodzicielsk¹. Oznacza to, ¿e w przypadku, gdy osoba ubezw³asnowolniona ca³kowicie jest nadal pod w³adz¹ rodzicielsk¹, nie ma potrzeby ustanawiania opieki, poniewa¿ w³adza rodzicielska obejmuje równie¿ sprawowanie opieki nad dzieckiem.

### Odniesienie do przepisów:
- **Art. 13 § 2 Kodeksu cywilnego**: ""Dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.""

Odpowiedzi a) i b) s¹ niepoprawne, poniewa¿:
- a) ""jest on w stanie kierowaæ swym postêpowaniem"" - nie dotyczy to ubezw³asnowolnienia ca³kowitego, które zak³ada, ¿e osoba nie jest w stanie kierowaæ swoim postêpowaniem.
- b) ""ustanowiony zosta³ dla niego kurator"" - dotyczy ubezw³asnowolnienia czêœciowego, a nie ca³kowitego.",True,True,[13]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej:
    
            a) pe³nomocnika, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            b) opiekuna, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³. 
            ",C,art. 42 § 1 k.c.,"Poprawna odpowiedŸ to **c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³**.

### Wyjaœnienie:
Zgodnie z art. 42 § 1 Kodeksu cywilnego, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw z powodu braku organu lub braku w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ma obowi¹zek ustanowiæ dla niej kuratora. Kurator ten dzia³a w imieniu osoby prawnej i podlega nadzorowi s¹du, który go ustanowi³. 

Kurator ma za zadanie nie tylko reprezentowaæ osobê prawn¹, ale tak¿e podejmowaæ dzia³ania zmierzaj¹ce do powo³ania lub uzupe³nienia sk³adu organu osoby prawnej, a w razie potrzeby do jej likwidacji (art. 42 § 3). 

Odpowiedzi a) i b) s¹ niepoprawne, poniewa¿ pe³nomocnik i opiekun nie s¹ terminami stosowanymi w kontekœcie reprezentacji osób prawnych w sytuacji braku organu. Pe³nomocnik dzia³a na podstawie pe³nomocnictwa, a opiekun jest instytucj¹ stosowan¹ w kontekœcie osób fizycznych, a nie prawnych.

### Odniesienie do przepisów:
- **Art. 42 Kodeksu cywilnego**: ""Je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej kuratora. Kurator podlega nadzorowi s¹du, który go ustanowi³.""",True,True,[42]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹:
    
            a) wy³¹cznie Skarbowi Pañstwa,
            b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym
            c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.
            ",B,art. 441 § 1 k.c.,"Poprawna odpowiedŸ to **b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym**.

### Wyjaœnienie:
Zgodnie z art. 441 Kodeksu cywilnego, w³asnoœæ i inne prawa maj¹tkowe, które stanowi¹ mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym. Oznacza to, ¿e mienie pañstwowe nie jest wy³¹cznie w rêkach Skarbu Pañstwa, ale mo¿e równie¿ nale¿eæ do innych podmiotów prawa publicznego, takich jak agencje rz¹dowe czy inne instytucje pañstwowe.

### Odniesienie do przepisów:
- **Art. 441 Kodeksu cywilnego**: ""W³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym.""

OdpowiedŸ a) jest niepoprawna, poniewa¿ sugeruje, ¿e tylko Skarb Pañstwa ma prawo do mienia pañstwowego, co jest niezgodne z przepisami. OdpowiedŸ c) jest równie¿ niepoprawna, poniewa¿ wprowadza gminy i ich zwi¹zki, co nie jest zgodne z treœci¹ art. 441.",True,True,[441]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za:
    
            a) jej czêœci sk³adowe,
            b) po¿ytki prawa
            c) jej przynale¿noœci
            ",A,art. 50 k.c.,"Poprawna odpowiedŸ to **a) jej czêœci sk³adowe**.

### Wyjaœnienie:
Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ traktowane jako jej czêœci sk³adowe. Artyku³ 50 Kodeksu cywilnego stanowi, ¿e za czêœci sk³adowe nieruchomoœci uwa¿a siê tak¿e prawa zwi¹zane z jej w³asnoœci¹. Oznacza to, ¿e prawa te s¹ integraln¹ czêœci¹ nieruchomoœci i nie mog¹ byæ od niej oddzielone.

### Odniesienie do przepisów:
- **Art. 50 Kodeksu cywilnego**: ""Za czêœci sk³adowe nieruchomoœci uwa¿a siê tak¿e prawa zwi¹zane z jej w³asnoœci¹.""

W kontekœcie pozosta³ych odpowiedzi:
- **b) po¿ytki prawa**: Po¿ytki s¹ to korzyœci, jakie mo¿na uzyskaæ z rzeczy, ale nie s¹ one traktowane jako czêœæ sk³adowa nieruchomoœci.
- **c) jej przynale¿noœci**: Przynale¿noœci to rzeczy ruchome potrzebne do korzystania z innej rzeczy, ale równie¿ nie s¹ one bezpoœrednio zwi¹zane z prawami w³asnoœci nieruchomoœci w taki sposób, jak czêœci sk³adowe.

Zatem odpowiedŸ a) jest najbardziej zgodna z przepisami Kodeksu cywilnego.",True,True,[50]
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, je¿eli sk³adaj¹cy oœwiadczenie woli, które ma byæ z³o¿one innej osobie, zmar³ zanim oœwiadczenie woli do tej osoby dosz³o, oœwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci
            c) traci moc wskutek tego, chyba ¿e co innego wynika z zasad wspó³¿ycia spo³ecznego.
            ",B,art. 62 k.c.,"Poprawna odpowiedŸ to **b)**: ""nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci"".

### Wyjaœnienie:
Zgodnie z art. 62 Kodeksu cywilnego, oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy, nawet jeœli sk³adaj¹cy je zmar³ przed jego dorêczeniem. Oœwiadczenie to pozostaje wa¿ne, chyba ¿e z jego treœci, z przepisów ustawy lub z okolicznoœci wynika coœ innego. Oznacza to, ¿e w przypadku œmierci sk³adaj¹cego oœwiadczenie, jego moc prawna nie jest automatycznie anulowana, co jest istotne w kontekœcie dziedziczenia i realizacji ostatniej woli.

### Odniesienie do przepisów:
- **Art. 62 Kodeksu cywilnego**: ""Oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy wskutek tego, ¿e zanim do tej osoby dosz³o, sk³adaj¹cy je zmar³ lub utraci³ zdolnoœæ do czynnoœci prawnych, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci."" 

To potwierdza, ¿e odpowiedŸ b) jest zgodna z obowi¹zuj¹cym prawem.",True,True,[62]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oœwiadczeniach woli stosuje siê do innych oœwiadczeñ:
    
            a) odpowiednio,
            b) wprost, chyba ¿e co innego wynika z ustawy
            c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.
            ",A,art. 651 k.c.,"Poprawna odpowiedŸ to **c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.**

### Wyjaœnienie:
Zgodnie z Kodeksem cywilnym, przepisy dotycz¹ce oœwiadczeñ woli stosuje siê do innych oœwiadczeñ wprost, chyba ¿e z treœci czynnoœci, okolicznoœci lub przepisów szczególnych wynika coœ innego. Oznacza to, ¿e ogólne zasady dotycz¹ce oœwiadczeñ woli mog¹ byæ modyfikowane przez specyficzne regulacje prawne lub kontekst danej sytuacji.

W szczególnoœci, artyku³ 60 Kodeksu cywilnego stwierdza, ¿e wola osoby dokonuj¹cej czynnoœci prawnej mo¿e byæ wyra¿ona przez ka¿de zachowanie, które ujawnia jej wolê w sposób dostateczny. Z kolei artyku³ 61 okreœla, kiedy oœwiadczenie woli jest uznawane za z³o¿one. W zwi¹zku z tym, zasady dotycz¹ce oœwiadczeñ woli s¹ stosowane szeroko, ale mog¹ byæ ograniczone przez inne przepisy lub okolicznoœci.

### Odniesienie do przepisów:
- **Art. 60 Kodeksu cywilnego**: ""Z zastrze¿eniem wyj¹tków w ustawie przewidzianych, wola osoby dokonuj¹cej czynnoœci prawnej mo¿e byæ wyra¿ona przez ka¿de zachowanie siê tej osoby, które ujawnia jej wolê w sposób dostateczny.""
- **Art. 61 Kodeksu cywilnego**: ""Oœwiadczenie woli, które ma byæ z³o¿one innej osobie, jest z³o¿one z chwil¹, gdy dosz³o do niej w taki sposób, ¿e mog³a zapoznaæ siê z jego treœci¹.""

Te przepisy wskazuj¹ na elastycznoœæ w stosowaniu zasad dotycz¹cych oœwiadczeñ woli, co potwierdza odpowiedŸ c).",False,False,"[60, 61]"
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do to¿samoœci oznaczonej:
    
            a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy
            b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y
            c) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy przepis szczególny tak stanowi.
            ",B,art. 155 § 1 k.c.,"Poprawna odpowiedŸ to **b)** przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y.

### Wyjaœnienie:
Zgodnie z art. 155 § 1 Kodeksu cywilnego, umowa darowizny rzeczy oznaczonej co do to¿samoœci przenosi w³asnoœæ na nabywcê, chyba ¿e przepisy szczególne stanowi¹ inaczej lub strony umowy postanowi³y inaczej. Oznacza to, ¿e w przypadku darowizny rzeczy oznaczonej co do to¿samoœci, przeniesienie w³asnoœci nie jest uzale¿nione od przeniesienia posiadania, co jest wymagane jedynie w przypadku rzeczy oznaczonych tylko co do gatunku (art. 155 § 2).

### Odniesienie do przepisów:
- **Art. 155 Kodeksu cywilnego**: ""Umowa sprzeda¿y, zamiany, darowizny, przekazania nieruchomoœci lub inna umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci rzeczy co do to¿samoœci oznaczonej przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y."" 

W zwi¹zku z tym, odpowiedŸ b) jest zgodna z przepisami Kodeksu cywilnego i jest poprawna.",True,True,[155]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci:
    
            a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu
            b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z  zastrze¿eniem terminu
            c) mo¿e byæ przeniesiona pod warunkiem, ale nie mo¿e byæ przeniesiona z  zastrze¿eniem terminu.   
            ",A,art. 157 § 1 k.c.,"Poprawna odpowiedŸ to **a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu**.

### Wyjaœnienie:
Zgodnie z art. 157 § 1 Kodeksu cywilnego, w³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona ani pod warunkiem, ani z zastrze¿eniem terminu. Oznacza to, ¿e wszelkie umowy dotycz¹ce przeniesienia w³asnoœci nieruchomoœci musz¹ byæ bezwarunkowe i nie mog¹ zawieraæ postanowieñ dotycz¹cych przysz³ych zdarzeñ, które mog³yby wp³yn¹æ na skutecznoœæ przeniesienia w³asnoœci.

Dodatkowo, art. 157 § 2 stanowi, ¿e jeœli umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci nieruchomoœci zosta³a zawarta pod warunkiem lub z zastrze¿eniem terminu, to do przeniesienia w³asnoœci potrzebne jest dodatkowe porozumienie stron, które wyra¿a ich bezwarunkow¹ zgodê na niezw³oczne przejœcie w³asnoœci. 

### Przypisane przepisy:
- **Art. 157 Kodeksu cywilnego**:
  - § 1. W³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu.
  - § 2. Je¿eli umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci nieruchomoœci zosta³a zawarta pod warunkiem lub z zastrze¿eniem terminu, do przeniesienia w³asnoœci potrzebne jest dodatkowe porozumienie stron obejmuj¹ce ich bezwarunkow¹ zgodê na niezw³oczne przejœcie w³asnoœci. 

W zwi¹zku z powy¿szym, odpowiedŸ a) jest jedyn¹ poprawn¹.",True,True,[157]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, rozstrzygniêcia przez s¹d:
    
            a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹
            b) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej trzech, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ trzeci¹
            c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.
            ",C,art. 202 k.c.,"Poprawna odpowiedŸ to **a)** mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹.

### Wyjaœnienie:
Zgodnie z art. 199 Kodeksu cywilnego, do rozporz¹dzania rzecz¹ wspóln¹ oraz do innych czynnoœci, które przekraczaj¹ zakres zwyk³ego zarz¹du, potrzebna jest zgoda wszystkich wspó³w³aœcicieli. W przypadku braku takiej zgody, wspó³w³aœciciele, których udzia³y wynosz¹ co najmniej po³owê, mog¹ ¿¹daæ rozstrzygniêcia przez s¹d. 

Jednak¿e, w kontekœcie czynnoœci ra¿¹co sprzecznych z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, art. 201 Kodeksu cywilnego stanowi, ¿e do czynnoœci zwyk³ego zarz¹du rzecz¹ wspóln¹ potrzebna jest zgoda wiêkszoœci wspó³w³aœcicieli. W przypadku, gdy wiêkszoœæ wspó³w³aœcicieli podejmuje decyzjê, która jest ra¿¹co sprzeczna z zasadami prawid³owego zarz¹du, pozostali wspó³w³aœciciele maj¹ prawo ¿¹daæ interwencji s¹du.

OdpowiedŸ a) jest zgodna z tym, ¿e pozostali wspó³w³aœciciele mog¹ ¿¹daæ rozstrzygniêcia przez s¹d, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹. Odpowiedzi b) i c) s¹ nieprawid³owe, poniewa¿ nie odzwierciedlaj¹ wymogów dotycz¹cych liczby wspó³w³aœcicieli i ich udzia³ów.

### Odwo³anie do przepisów:
- **Art. 199 Kodeksu cywilnego**: ""Do rozporz¹dzania rzecz¹ wspóln¹ oraz do innych czynnoœci, które przekraczaj¹ zakres zwyk³ego zarz¹du, potrzebna jest zgoda wszystkich wspó³w³aœcicieli. W braku takiej zgody wspó³w³aœciciele, których udzia³y wynosz¹ co najmniej po³owê, mog¹ ¿¹daæ rozstrzygniêcia przez s¹d...""
- **Art. 201 Kodeksu cywilnego**: ""Do czynnoœci zwyk³ego zarz¹du rzecz¹ wspóln¹ potrzebna jest zgoda wiêkszoœci wspó³w³aœcicieli...""",False,False,"[199, 201]"
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego
            c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.
            ",C,art. 222 § 2 k.c.,"Poprawna odpowiedŸ to **b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego**.

### Wyjaœnienie:
Zgodnie z art. 222 § 2 Kodeksu cywilnego, w³aœciciel ma prawo do roszczenia przeciwko osobie, która narusza jego w³asnoœæ w sposób inny ni¿ poprzez pozbawienie go w³adztwa nad rzecz¹. W takim przypadku przys³uguje mu roszczenie o przywrócenie stanu zgodnego z prawem oraz o zaniechanie naruszeñ. W³aœciciel ma prawo wyboru, które z tych roszczeñ chce dochodziæ, a dokonanie wyboru jednego z nich skutkuje wygaœniêciem drugiego.

### Odniesienie do przepisów:
- **Art. 222 Kodeksu cywilnego**:
  - § 1: W³aœciciel mo¿e ¿¹daæ od osoby, która w³ada faktycznie jego rzecz¹, a¿eby rzecz zosta³a mu wydana, chyba ¿e osobie tej przys³uguje skuteczne wzglêdem w³aœciciela uprawnienie do w³adania rzecz¹.
  - § 2: Przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.

W zwi¹zku z powy¿szym, odpowiedŸ b) jest zgodna z przepisami Kodeksu cywilnego i najlepiej odzwierciedla sytuacjê prawn¹ w³aœciciela w przypadku naruszenia jego w³asnoœci.",False,True,[222]
