dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw≥asnowolnionego ca≥kowicie ustanawia siÍ opiekÍ, chyba øe:
    
            a) jest on w stanie kierowaÊ swym postÍpowaniem,
            b) ustanowiony zosta≥ dla niego kurator
            c) pozostaje on jeszcze pod w≥adzπ rodzicielskπ.
            ",C,art. 13 ß 2 k.c.,"Zgodnie z Kodeksem cywilnym, dla ubezw≥asnowolnionego ca≥kowicie ustanawia siÍ opiekÍ, chyba øe:

b) ustanowiony zosta≥ dla niego kurator

Wybieram odpowiedü b), poniewaø zgodnie z art. 16 ß 2 Kodeksu cywilnego, dla osoby ubezw≥asnowolnionej czÍúciowo ustanawia siÍ kuratelÍ, a nie opiekÍ. Natomiast dla osoby ubezw≥asnowolnionej ca≥kowicie, ustanawia siÍ opiekÍ, chyba øe pozostaje ona jeszcze pod w≥adzπ rodzicielskπ. Dlatego ustanowienie kuratora dla osoby ubezw≥asnowolnionej ca≥kowicie jest warunkiem, ktÛry wyklucza koniecznoúÊ ustanowienia opieki.

Referencja: Kodeks cywilny, Art. 16 ß 2.",False,False,[16]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, jeøeli osoba prawna nie moøe byÊ reprezentowana lub prowadziÊ swoich spraw ze wzglÍdu na brak organu albo brak w sk≥adzie organu uprawnionego do jej reprezentowania, sπd ustanawia dla niej:
    
            a) pe≥nomocnika, ktÛry podlega nadzorowi sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej
            b) opiekuna, ktÛry podlega nadzorowi sπdu w≥aúciwego ze wzglÍdu na siedzibÍ osoby prawnej
            c) kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥. 
            ",C,art. 42 ß 1 k.c.,"Poprawna odpowiedü to:

c) kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥.

WybÛr kuratora dla osoby prawnej, ktÛra nie moøe byÊ reprezentowana ze wzglÍdu na brak organu lub brak w sk≥adzie organu uprawnionego do jej reprezentowania, regulowany jest w art. 42 Kodeksu cywilnego. Zgodnie z tym artyku≥em, sπd ustanawia dla osoby prawnej kuratora, ktÛry podlega nadzorowi sπdu, ktÛry go ustanowi≥. Kurator ma za zadanie reprezentowaÊ osobÍ prawnπ oraz prowadziÊ jej sprawy w granicach okreúlonych przez sπd. Ponadto, kurator podejmuje dzia≥ania majπce na celu powo≥anie lub uzupe≥nienie sk≥adu organu osoby prawnej uprawnionego do jej reprezentowania lub w razie potrzeby jej likwidacjÍ.

WiÍcej informacji na temat ustanowienia kuratora dla osoby prawnej moøna znaleüÊ w art. 42 Kodeksu cywilnego.",True,True,[42]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w≥asnoúÊ i inne prawa majπtkowe, stanowiπce mienie paÒstwowe, przys≥ugujπ:
    
            a) wy≥πcznie Skarbowi PaÒstwa,
            b) Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym
            c) Skarbowi PaÒstwa, innym paÒstwowym osobom prawnym oraz gminom i ich zwiπzkom.
            ",B,art. 441 ß 1 k.c.,"Zgodnie z Kodeksem cywilnym, w≥asnoúÊ i inne prawa majπtkowe, stanowiπce mienie paÒstwowe, przys≥ugujπ Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym. Odpowiedü poprawna to:

b) Skarbowi PaÒstwa albo innym paÒstwowym osobom prawnym

Zasady dotyczπce w≥asnoúci i innych praw majπtkowych mienia paÒstwowego regulowane sπ w art. 441 ß 1 Kodeksu cywilnego. W przypadku mienia paÒstwowego, prawa te przys≥ugujπ Skarbowi PaÒstwa lub innym paÒstwowym osobom prawnym. Jest to uregulowane w Kodeksie cywilnym, ktÛry precyzuje podmioty uprawnione do posiadania i dysponowania mieniem paÒstwowym.",True,True,[441]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwiπzane z w≥asnoúciπ nieruchomoúci uwaøa siÍ za:
    
            a) jej czÍúci sk≥adowe,
            b) poøytki prawa
            c) jej przynaleønoúci
            ",A,art. 50 k.c.,"Poprawna odpowiedü to:

a) jej czÍúci sk≥adowe

Wyjaúnienie:
Zgodnie z art. 50 Kodeksu cywilnego, prawa zwiπzane z w≥asnoúciπ nieruchomoúci uwaøa siÍ za jej czÍúci sk≥adowe. Oznacza to, øe prawa zwiπzane z w≥asnoúciπ nieruchomoúci, takie jak s≥uøebnoúci gruntowe czy inne prawa rzeczowe, sπ traktowane jako integralne elementy nieruchomoúci.

Artyku≥: Art. 50 Kodeksu cywilnego",True,True,[50]
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, jeøeli sk≥adajπcy oúwiadczenie woli, ktÛre ma byÊ z≥oøone innej osobie, zmar≥ zanim oúwiadczenie woli do tej osoby dosz≥o, oúwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci
            c) traci moc wskutek tego, chyba øe co innego wynika z zasad wspÛ≥øycia spo≥ecznego.
            ",B,art. 62 k.c.,"Poprawna odpowiedü to:

b) nie traci mocy wskutek tego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci

Wyjaúnienie:
Zgodnie z art. 61 Kodeksu cywilnego, oúwiadczenie woli, ktÛre ma byÊ z≥oøone innej osobie, jest uznane za z≥oøone w chwili, gdy dosz≥o do niej w taki sposÛb, øe osoba ta mog≥a zapoznaÊ siÍ z jego treúciπ. Oúwiadczenie to nie traci mocy wskutek úmierci sk≥adajπcego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci. Zatem, w przypadku úmierci sk≥adajπcego oúwiadczenia woli przed jego dotarciem do drugiej osoby, oúwiadczenie to nadal zachowuje swojπ moc, chyba øe istniejπ inne okolicznoúci lub przepisy, ktÛre stanowiπ inaczej.

Zasada ta wynika z art. 61 Kodeksu cywilnego, ktÛry reguluje moment z≥oøenia oúwiadczenia woli innej osobie.",True,True,"[61, 62]"
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oúwiadczeniach woli stosuje siÍ do innych oúwiadczeÒ:
    
            a) odpowiednio,
            b) wprost, chyba øe co innego wynika z ustawy
            c) wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.
            ",A,art. 651 k.c.,"Zgodnie z Kodeksem cywilnym, przepisy o oúwiadczeniach woli stosuje siÍ do innych oúwiadczeÒ:

c) wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.

WybÛr c) jest poprawny, poniewaø zgodnie z art. 65 ß 1 Kodeksu cywilnego, oúwiadczenie woli naleøy tak t≥umaczyÊ, jak tego wymagajπ ze wzglÍdu na okolicznoúci, w ktÛrych z≥oøone zosta≥o, zasady wspÛ≥øycia spo≥ecznego oraz ustalone zwyczaje. Oznacza to, øe interpretacja oúwiadczenia woli powinna uwzglÍdniaÊ kontekst, w jakim zosta≥o z≥oøone, oraz normy obowiπzujπce w danej sytuacji.

Zasada ta jest potwierdzona rÛwnieø w innych artyku≥ach Kodeksu cywilnego, takich jak art. 62, ktÛry mÛwi, øe oúwiadczenie woli nie traci mocy z powodu úmierci lub utraty zdolnoúci do czynnoúci prawnych sk≥adajπcego, chyba øe co innego wynika z treúci oúwiadczenia, z ustawy lub z okolicznoúci.

Dlatego w≥aúciwe jest stosowanie przepisÛw o oúwiadczeniach woli wprost, chyba øe co innego wynika z treúci czynnoúci, okolicznoúci albo przepisÛw szczegÛlnych.",False,True,"[65, 62]"
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do toøsamoúci oznaczonej:
    
            a) przenosi w≥asnoúÊ na nabywcÍ tylko wÛwczas, gdy nastπpi przeniesienie posiadania rzeczy
            b) przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y
            c) przenosi w≥asnoúÊ na nabywcÍ tylko wÛwczas, gdy przepis szczegÛlny tak stanowi.
            ",B,art. 155 ß 1 k.c.,"Poprawna odpowiedü to:

b) przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y

WybÛr b) jest poprawny, poniewaø zgodnie z art. 155 ß 1 Kodeksu cywilnego, umowa darowizny rzeczy co do toøsamoúci oznaczonej przenosi w≥asnoúÊ na nabywcÍ, chyba øe przepis szczegÛlny stanowi inaczej albo øe strony inaczej postanowi≥y. Oznacza to, øe zasada przeniesienia w≥asnoúci na nabywcÍ w przypadku umowy darowizny rzeczy co do toøsamoúci oznaczonej jest elastyczna i moøe byÊ zmieniona przez przepisy szczegÛlne lub postanowienia stron umowy.

Artyku≥: Kodeks cywilny, Art. 155 ß 1",True,True,[155]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w≥asnoúÊ nieruchomoúci:
    
            a) nie moøe byÊ przeniesiona pod warunkiem ani z zastrzeøeniem terminu
            b) nie moøe byÊ przeniesiona pod warunkiem, ale moøe byÊ przeniesiona z  zastrzeøeniem terminu
            c) moøe byÊ przeniesiona pod warunkiem, ale nie moøe byÊ przeniesiona z  zastrzeøeniem terminu.   
            ",A,art. 157 ß 1 k.c.,"Poprawna odpowiedü to:

c) moøe byÊ przeniesiona pod warunkiem, ale nie moøe byÊ przeniesiona z zastrzeøeniem terminu.

WybÛr c) jest poprawny, poniewaø zgodnie z art. 157 ß 1 Kodeksu cywilnego: ""W≥asnoúÊ nieruchomoúci nie moøe byÊ przeniesiona pod warunkiem ani z zastrzeøeniem terminu."" Oznacza to, øe przeniesienie w≥asnoúci nieruchomoúci nie moøe nastπpiÊ ani pod warunkiem, ani z zastrzeøeniem terminu.

Zatem, zgodnie z polskim Kodeksem cywilnym, w≥asnoúÊ nieruchomoúci moøe byÊ przeniesiona pod warunkiem, ale nie moøe byÊ przeniesiona z zastrzeøeniem terminu.",False,True,[157]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, jeøeli wiÍkszoúÊ wspÛ≥w≥aúcicieli postanawia dokonaÊ czynnoúci raøπco sprzecznej z zasadami prawid≥owego zarzπdu rzeczπ wspÛlnπ, rozstrzygniÍcia przez sπd:
    
            a) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ
            b) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej trzech, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ trzeciπ
            c) moøe øπdaÊ kaødy z pozosta≥ych wspÛ≥w≥aúcicieli.
            ",C,art. 202 k.c.,"Poprawna odpowiedü to:

a) mogπ øπdaÊ wszyscy pozostali wspÛ≥w≥aúciciele ≥πcznie, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ

WybÛr a) jest poprawny zgodnie z przepisami Kodeksu cywilnego dotyczπcymi wspÛ≥w≥asnoúci. Zgodnie z art. 210 ß 1 Kodeksu cywilnego, kaødy ze wspÛ≥w≥aúcicieli moøe øπdaÊ zniesienia wspÛ≥w≥asnoúci. Natomiast zgodnie z art. 211 Kodeksu cywilnego, kaødy ze wspÛ≥w≥aúcicieli moøe øπdaÊ, aøeby zniesienie wspÛ≥w≥asnoúci nastπpi≥o przez podzia≥ rzeczy wspÛlnej, chyba øe podzia≥ by≥by sprzeczny z przepisami ustawy. Z kolei zgodnie z art. 212 Kodeksu cywilnego, jeøeli zniesienie wspÛ≥w≥asnoúci nastÍpuje na mocy orzeczenia sπdu, wartoúÊ poszczegÛlnych udzia≥Ûw moøe byÊ wyrÛwnana przez dop≥aty pieniÍøne. Przy podziale gruntu sπd moøe obciπøyÊ poszczegÛlne czÍúci potrzebnymi s≥uøebnoúciami gruntowymi.

Zatem, zgodnie z przepisami dotyczπcymi wspÛ≥w≥asnoúci, wszyscy pozostali wspÛ≥w≥aúciciele mogπ øπdaÊ zniesienia wspÛ≥w≥asnoúci, pod warunkiem, øe jest ich przynajmniej dwÛch, a ich udzia≥y wynoszπ ≥πcznie przynajmniej jednπ czwartπ.

Odpowiednie artyku≥y Kodeksu cywilnego to: Art. 210, Art. 211, Art. 212.",False,False,"[210, 211, 212]"
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, ktÛra narusza w≥asnoúÊ w inny sposÛb aniøeli przez pozbawienie w≥aúciciela faktycznego w≥adztwa nad rzeczπ, przys≥uguje w≥aúcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego
            c) o przywrÛcenie stanu zgodnego z prawem i o zaniechanie naruszeÒ.
            ",C,art. 222 ß 2 k.c.,"Poprawna odpowiedü to:

b) o przywrÛcenie stanu zgodnego z prawem albo o zaniechanie naruszeÒ ñ wed≥ug wyboru w≥aúciciela; wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego

WybÛr roszczenia o przywrÛcenie stanu zgodnego z prawem lub o zaniechanie naruszeÒ naleøy do w≥aúciciela, a wybÛr jednego roszczenia skutkuje wygaúniÍciem drugiego. Zgodnie z art. 222 ß 2 Kodeksu cywilnego, przeciwko osobie, ktÛra narusza w≥asnoúÊ w inny sposÛb aniøeli przez pozbawienie w≥aúciciela faktycznego w≥adztwa nad rzeczπ, przys≥uguje w≥aúcicielowi roszczenie o przywrÛcenie stanu zgodnego z prawem i o zaniechanie naruszeÒ.

Referencja: Kodeks cywilny, Art. 222 ß 2.",False,True,[222]
