dataset,index,question,correct_answer_letter,correct_answer_context,returned_answer,answer_judgment,context_judgment,context_extraction
egzamin_wstepny_adwokacki_radcowski_2022,30,"Question: Zgodnie z Kodeksem cywilnym, dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e:
    
            a) jest on w stanie kierowaæ swym postêpowaniem,
            b) ustanowiony zosta³ dla niego kurator
            c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.
            ",C,art. 13 § 2 k.c.,"OdpowiedŸ: **c) pozostaje on jeszcze pod w³adz¹ rodzicielsk¹.**

**Wyjaœnienie:**
Zgodnie z art. 13 § 2 Kodeksu cywilnego, dla osoby ubezw³asnowolnionej ca³kowicie ustanawia siê opiekê, chyba ¿e pozostaje ona jeszcze pod w³adz¹ rodzicielsk¹. Oznacza to, ¿e w przypadku, gdy osoba ubezw³asnowolniona ca³kowicie jest ma³oletnia i znajduje siê pod w³adz¹ rodzicielsk¹, nie ma potrzeby ustanawiania opieki, poniewa¿ rodzice pe³ni¹ funkcjê opiekunów prawnych.

**Odniesienie do przepisów:**
- Art. 13 Kodeksu cywilnego:
  - § 1. Osoba, która ukoñczy³a lat trzynaœcie, mo¿e byæ ubezw³asnowolniona ca³kowicie, je¿eli wskutek choroby psychicznej, niedorozwoju umys³owego albo innego rodzaju zaburzeñ psychicznych, w szczególnoœci pijañstwa lub narkomanii, nie jest w stanie kierowaæ swym postêpowaniem.
  - § 2. Dla ubezw³asnowolnionego ca³kowicie ustanawia siê opiekê, chyba ¿e pozostaje on jeszcze pod w³adz¹ rodzicielsk¹. 

W zwi¹zku z tym, odpowiedŸ c) jest poprawna, poniewa¿ wskazuje na wyj¹tek od zasady ustanawiania opieki nad osob¹ ubezw³asnowolnion¹ ca³kowicie.",True,True,[13]
egzamin_wstepny_adwokacki_radcowski_2022,31,"Question: Zgodnie z Kodeksem cywilnym, je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej:
    
            a) pe³nomocnika, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            b) opiekuna, który podlega nadzorowi s¹du w³aœciwego ze wzglêdu na siedzibê osoby prawnej
            c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³. 
            ",C,art. 42 § 1 k.c.,"OdpowiedŸ: **c) kuratora, który podlega nadzorowi s¹du, który go ustanowi³.**

**Wyjaœnienie:**
Zgodnie z art. 42 Kodeksu cywilnego, w sytuacji, gdy osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw z powodu braku organu lub braku w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ma obowi¹zek ustanowiæ dla niej kuratora. Kurator ten dzia³a w imieniu osoby prawnej i podlega nadzorowi s¹du, który go ustanowi³. 

Warto zauwa¿yæ, ¿e odpowiedzi a) i b) s¹ nieprawid³owe, poniewa¿ pe³nomocnik i opiekun nie s¹ terminami stosowanymi w kontekœcie reprezentacji osób prawnych w sytuacji braku organu. Pe³nomocnik jest osob¹, która dzia³a na podstawie umocowania, a opiekun dotyczy osób fizycznych, które nie mog¹ prowadziæ swoich spraw z powodu wieku lub stanu zdrowia.

**Odniesienie do przepisów:**
- Art. 42 Kodeksu cywilnego: ""Je¿eli osoba prawna nie mo¿e byæ reprezentowana lub prowadziæ swoich spraw ze wzglêdu na brak organu albo brak w sk³adzie organu uprawnionego do jej reprezentowania, s¹d ustanawia dla niej kuratora.""",True,True,[42]
egzamin_wstepny_adwokacki_radcowski_2022,32,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹:
    
            a) wy³¹cznie Skarbowi Pañstwa,
            b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym
            c) Skarbowi Pañstwa, innym pañstwowym osobom prawnym oraz gminom i ich zwi¹zkom.
            ",B,art. 441 § 1 k.c.,"Poprawna odpowiedŸ to **b) Skarbowi Pañstwa albo innym pañstwowym osobom prawnym**.

### Wyjaœnienie:
Zgodnie z art. 441 Kodeksu cywilnego, w³asnoœæ i inne prawa maj¹tkowe, które stanowi¹ mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym. Oznacza to, ¿e mienie pañstwowe nie jest wy³¹cznie w rêkach Skarbu Pañstwa, ale mo¿e równie¿ nale¿eæ do innych podmiotów prawa publicznego, takich jak agencje rz¹dowe czy inne instytucje pañstwowe.

### Odniesienie do przepisów:
- **Art. 441 Kodeksu cywilnego**: ""W³asnoœæ i inne prawa maj¹tkowe, stanowi¹ce mienie pañstwowe, przys³uguj¹ Skarbowi Pañstwa albo innym pañstwowym osobom prawnym.""

W zwi¹zku z tym, odpowiedŸ a) jest niepoprawna, poniewa¿ sugeruje, ¿e mienie pañstwowe przys³uguje wy³¹cznie Skarbowi Pañstwa, a odpowiedŸ c) jest równie¿ niepoprawna, poniewa¿ wprowadza do definicji gminy i ich zwi¹zki, co nie jest zgodne z treœci¹ art. 441.",True,True,[441]
egzamin_wstepny_adwokacki_radcowski_2022,33,"Question: Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci uwa¿a siê za:
    
            a) jej czêœci sk³adowe,
            b) po¿ytki prawa
            c) jej przynale¿noœci
            ",A,art. 50 k.c.,"OdpowiedŸ: **c) jej przynale¿noœci**

**Wyjaœnienie:**
Zgodnie z Kodeksem cywilnym, prawa zwi¹zane z w³asnoœci¹ nieruchomoœci s¹ traktowane jako jej przynale¿noœci. Przynale¿noœci to rzeczy, które s¹ zwi¹zane z inn¹ rzecz¹ (w tym przypadku nieruchomoœci¹) w taki sposób, ¿e nie mog¹ byæ od niej oddzielone bez uszkodzenia. W kontekœcie nieruchomoœci, przynale¿noœci mog¹ obejmowaæ ró¿ne prawa, takie jak s³u¿ebnoœci, czy inne ograniczone prawa rzeczowe, które s¹ zwi¹zane z u¿ytkowaniem nieruchomoœci.

Zgodnie z art. 50 Kodeksu cywilnego, ""Za czêœci sk³adowe nieruchomoœci uwa¿a siê tak¿e prawa zwi¹zane z jej w³asnoœci¹."" Oznacza to, ¿e prawa te s¹ integraln¹ czêœci¹ w³asnoœci nieruchomoœci i nie mog¹ byæ od niej oddzielone.

**Przypisane artyku³y:**
- Art. 50 Kodeksu cywilnego: ""Za czêœci sk³adowe nieruchomoœci uwa¿a siê tak¿e prawa zwi¹zane z jej w³asnoœci¹.""",False,True,[50]
egzamin_wstepny_adwokacki_radcowski_2022,34,"Question: Zgodnie z Kodeksem cywilnym, je¿eli sk³adaj¹cy oœwiadczenie woli, które ma byæ z³o¿one innej osobie, zmar³ zanim oœwiadczenie woli do tej osoby dosz³o, oœwiadczenie to:
    
            a) zawsze traci moc wskutek tego,
            b) nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci
            c) traci moc wskutek tego, chyba ¿e co innego wynika z zasad wspó³¿ycia spo³ecznego.
            ",B,art. 62 k.c.,"OdpowiedŸ poprawna to **b)**: ""nie traci mocy wskutek tego, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci"".

### Wyjaœnienie:
Zgodnie z art. 62 Kodeksu cywilnego, oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy w przypadku, gdy sk³adaj¹cy je zmar³ przed jego dorêczeniem. Oznacza to, ¿e oœwiadczenie to pozostaje wa¿ne, chyba ¿e z jego treœci, przepisów ustawy lub okolicznoœci wynika coœ innego. 

Przyk³adowo, jeœli oœwiadczenie woli zawiera klauzulê, która wskazuje, ¿e jest ono wa¿ne tylko w przypadku, gdy sk³adaj¹cy je jest ¿ywy, to w takim przypadku oœwiadczenie straci moc. W przeciwnym razie, w standardowych okolicznoœciach, oœwiadczenie woli pozostaje skuteczne.

### Odniesienie do przepisów:
- **Art. 62 Kodeksu cywilnego**: ""Oœwiadczenie woli, które ma byæ z³o¿one innej osobie, nie traci mocy wskutek tego, ¿e zanim do tej osoby dosz³o, sk³adaj¹cy je zmar³ lub utraci³ zdolnoœæ do czynnoœci prawnych, chyba ¿e co innego wynika z treœci oœwiadczenia, z ustawy lub z okolicznoœci.""",True,True,[62]
egzamin_wstepny_adwokacki_radcowski_2022,35,"Question: Zgodnie z Kodeksem cywilnym, przepisy o oœwiadczeniach woli stosuje siê do innych oœwiadczeñ:
    
            a) odpowiednio,
            b) wprost, chyba ¿e co innego wynika z ustawy
            c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.
            ",A,art. 651 k.c.,"Poprawna odpowiedŸ to **c) wprost, chyba ¿e co innego wynika z treœci czynnoœci, okolicznoœci albo przepisów szczególnych.**

### Wyjaœnienie:
Zgodnie z Kodeksem cywilnym, przepisy dotycz¹ce oœwiadczeñ woli stosuje siê odpowiednio do innych oœwiadczeñ, ale z zastrze¿eniem, ¿e mog¹ istnieæ szczególne przepisy lub okolicznoœci, które mog¹ wp³ywaæ na interpretacjê lub zastosowanie tych przepisów. Oznacza to, ¿e w przypadku innych oœwiadczeñ, nale¿y braæ pod uwagê nie tylko ogólne zasady, ale tak¿e specyfikê danej czynnoœci prawnej oraz kontekst, w jakim to oœwiadczenie zosta³o z³o¿one.

W Kodeksie cywilnym, artyku³ 60 stanowi, ¿e wola osoby dokonuj¹cej czynnoœci prawnej mo¿e byæ wyra¿ona przez ka¿de zachowanie, które ujawnia jej wolê w sposób dostateczny. Artyku³ 65 podkreœla, ¿e oœwiadczenie woli nale¿y interpretowaæ w kontekœcie okolicznoœci, zasad wspó³¿ycia spo³ecznego oraz ustalonych zwyczajów. 

### Odpowiednie przepisy:
- **Art. 60 Kodeksu cywilnego**: ""Z zastrze¿eniem wyj¹tków w ustawie przewidzianych, wola osoby dokonuj¹cej czynnoœci prawnej mo¿e byæ wyra¿ona przez ka¿de zachowanie siê tej osoby, które ujawnia jej wolê w sposób dostateczny.""
- **Art. 65 Kodeksu cywilnego**: ""Oœwiadczenie woli nale¿y tak t³umaczyæ, jak tego wymagaj¹ ze wzglêdu na okolicznoœci, w których z³o¿one zosta³o, zasady wspó³¿ycia spo³ecznego oraz ustalone zwyczaje.""

W zwi¹zku z tym, odpowiedŸ c) jest najbardziej zgodna z duchem i liter¹ Kodeksu cywilnego.",False,True,"[60, 65]"
egzamin_wstepny_adwokacki_radcowski_2022,36,"Question: Zgodnie z Kodeksem cywilnym, umowa darowizny rzeczy co do to¿samoœci oznaczonej:
    
            a) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy nast¹pi przeniesienie posiadania rzeczy
            b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y
            c) przenosi w³asnoœæ na nabywcê tylko wówczas, gdy przepis szczególny tak stanowi.
            ",B,art. 155 § 1 k.c.,"OdpowiedŸ: **b) przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y.**

**Wyjaœnienie:**
Zgodnie z art. 155 § 1 Kodeksu cywilnego, umowa darowizny rzeczy oznaczonej co do to¿samoœci przenosi w³asnoœæ na nabywcê, chyba ¿e przepisy szczególne stanowi¹ inaczej lub strony umowy postanowi³y inaczej. Oznacza to, ¿e w przypadku darowizny rzeczy oznaczonej co do to¿samoœci, przeniesienie w³asnoœci nastêpuje automatycznie z chwil¹ zawarcia umowy, o ile nie ustalono inaczej w umowie lub nie ma przepisów, które by to zmienia³y.

**Podstawa prawna:**
- Art. 155 Kodeksu cywilnego:
  - § 1. Umowa sprzeda¿y, zamiany, darowizny, przekazania nieruchomoœci lub inna umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci rzeczy co do to¿samoœci oznaczonej przenosi w³asnoœæ na nabywcê, chyba ¿e przepis szczególny stanowi inaczej albo ¿e strony inaczej postanowi³y.",True,True,[155]
egzamin_wstepny_adwokacki_radcowski_2022,37,"Question: Zgodnie z Kodeksem cywilnym, w³asnoœæ nieruchomoœci:
    
            a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu
            b) nie mo¿e byæ przeniesiona pod warunkiem, ale mo¿e byæ przeniesiona z  zastrze¿eniem terminu
            c) mo¿e byæ przeniesiona pod warunkiem, ale nie mo¿e byæ przeniesiona z  zastrze¿eniem terminu.   
            ",A,art. 157 § 1 k.c.,"Poprawna odpowiedŸ to **a) nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu**.

### Wyjaœnienie:
Zgodnie z art. 157 Kodeksu cywilnego, przeniesienie w³asnoœci nieruchomoœci nie mo¿e byæ dokonane pod warunkiem ani z zastrze¿eniem terminu. Oznacza to, ¿e umowa przenosz¹ca w³asnoœæ nieruchomoœci musi byæ bezwarunkowa i nie mo¿e zawieraæ postanowieñ dotycz¹cych terminu, w którym w³asnoœæ ma byæ przeniesiona. W przypadku, gdy umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci nieruchomoœci zosta³a zawarta pod warunkiem lub z zastrze¿eniem terminu, konieczne jest dodatkowe porozumienie stron, które wyra¿a ich bezwarunkow¹ zgodê na niezw³oczne przejœcie w³asnoœci.

### Odpowiednie przepisy:
- **Art. 157 Kodeksu cywilnego**:
  - § 1. W³asnoœæ nieruchomoœci nie mo¿e byæ przeniesiona pod warunkiem ani z zastrze¿eniem terminu.
  - § 2. Je¿eli umowa zobowi¹zuj¹ca do przeniesienia w³asnoœci nieruchomoœci zosta³a zawarta pod warunkiem lub z zastrze¿eniem terminu, do przeniesienia w³asnoœci potrzebne jest dodatkowe porozumienie stron obejmuj¹ce ich bezwarunkow¹ zgodê na niezw³oczne przejœcie w³asnoœci.

W zwi¹zku z tym, odpowiedŸ a) jest zgodna z przepisami Kodeksu cywilnego.",True,True,[157]
egzamin_wstepny_adwokacki_radcowski_2022,38,"Question: Zgodnie z Kodeksem cywilnym, je¿eli wiêkszoœæ wspó³w³aœcicieli postanawia dokonaæ czynnoœci ra¿¹co sprzecznej z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, rozstrzygniêcia przez s¹d:
    
            a) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹
            b) mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej trzech, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ trzeci¹
            c) mo¿e ¿¹daæ ka¿dy z pozosta³ych wspó³w³aœcicieli.
            ",C,art. 202 k.c.,"OdpowiedŸ: **a)** mog¹ ¿¹daæ wszyscy pozostali wspó³w³aœciciele ³¹cznie, pod warunkiem, ¿e jest ich przynajmniej dwóch, a ich udzia³y wynosz¹ ³¹cznie przynajmniej jedn¹ czwart¹.

**Wyjaœnienie:**
Zgodnie z art. 211 Kodeksu cywilnego, ka¿dy ze wspó³w³aœcicieli ma prawo ¿¹daæ zniesienia wspó³w³asnoœci. W przypadku, gdy wiêkszoœæ wspó³w³aœcicieli podejmuje decyzjê, która jest ra¿¹co sprzeczna z zasadami prawid³owego zarz¹du rzecz¹ wspóln¹, pozostali wspó³w³aœciciele mog¹ z³o¿yæ wniosek do s¹du o uchwa³ê w tej sprawie. Jednak¿e, aby to zrobiæ, musz¹ spe³niaæ okreœlone warunki, które s¹ zgodne z odpowiednimi przepisami.

W szczególnoœci, art. 210 § 1 Kodeksu cywilnego stanowi, ¿e ka¿dy ze wspó³w³aœcicieli mo¿e ¿¹daæ zniesienia wspó³w³asnoœci, a w przypadku, gdy wspó³w³aœciciele nie s¹ w stanie dojœæ do porozumienia, s¹d mo¿e interweniowaæ. W przypadku ra¿¹cego naruszenia zasad zarz¹du, pozostali wspó³w³aœciciele mog¹ ¿¹daæ ochrony swoich praw, ale musz¹ byæ ich co najmniej dwóch, a ich ³¹czne udzia³y musz¹ wynosiæ przynajmniej jedn¹ czwart¹.

**Podstawa prawna:**
- Kodeks cywilny, art. 210 i 211.",False,False,"[210, 211]"
egzamin_wstepny_adwokacki_radcowski_2022,39,"Question: Zgodnie z Kodeksem cywilnym, przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie:
    
            a) o wydanie rzeczy
            b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego
            c) o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.
            ",C,art. 222 § 2 k.c.,"OdpowiedŸ: **b) o przywrócenie stanu zgodnego z prawem albo o zaniechanie naruszeñ – wed³ug wyboru w³aœciciela; wybór jednego roszczenia skutkuje wygaœniêciem drugiego.**

**Wyjaœnienie:**
Zgodnie z art. 222 § 2 Kodeksu cywilnego, w³aœciciel ma prawo do roszczenia przeciwko osobie, która narusza jego w³asnoœæ w sposób inny ni¿ pozbawienie go w³adztwa nad rzecz¹. W takim przypadku w³aœciciel mo¿e ¿¹daæ przywrócenia stanu zgodnego z prawem lub zaniechania naruszeñ, przy czym wybór jednego z tych roszczeñ skutkuje wygaœniêciem drugiego. Oznacza to, ¿e w³aœciciel nie mo¿e równoczeœnie domagaæ siê obu roszczeñ, lecz musi zdecydowaæ siê na jedno z nich.

**Odniesienie do przepisów:**
- Art. 222 Kodeksu cywilnego:
  - § 1. W³aœciciel mo¿e ¿¹daæ od osoby, która w³ada faktycznie jego rzecz¹, a¿eby rzecz zosta³a mu wydana, chyba ¿e osobie tej przys³uguje skuteczne wzglêdem w³aœciciela uprawnienie do w³adania rzecz¹.
  - § 2. Przeciwko osobie, która narusza w³asnoœæ w inny sposób ani¿eli przez pozbawienie w³aœciciela faktycznego w³adztwa nad rzecz¹, przys³uguje w³aœcicielowi roszczenie o przywrócenie stanu zgodnego z prawem i o zaniechanie naruszeñ.",False,True,[222]
